split_seed,dataset_id,model_id,alpha,outcome,candidate_count,safe_count,rejected_count,failed_count,v_cert,v_amb,coverage_rate,oracle_candidate,oracle_mean_total_ms,reference_candidate,reference_cryptographic_security_admitted,reference_execution_status,reference_decision_certificate_status,reference_latency_role,reference_mean_total_ms,oracle_speedup_vs_reference,latency_only_candidate,latency_only_status,latency_only_mean_total_ms,v2_oracle_candidate,v2_oracle_mean_total_ms,pre_security_v2_oracle_candidate,selection_changed
0,digits_binary,linear_poly3,0.9,SELECTED,14,4,8,2,264,6,0.9777777777777777,deep_chain_8_scale45__rescale_aware,586.2105111333,deep_chain_8_scale45__rescale_aware,true,ok,SAFE,DECISION_PRESERVING_REFERENCE,586.2105111333,1.0,short_chain_3__baseline_non_rescale,REJECTED,142.5038057889,deep_chain_8_scale45__rescale_aware,586.2105111333,default__rescale_aware,true
0,digits_binary,mlp_square_linear_score,0.1,SELECTED,14,10,4,0,254,16,0.9407407407407408,short_chain_6_scale38__rescale_aware,290.1374271444,deep_chain_8_scale45__rescale_aware,true,ok,SAFE,DECISION_PRESERVING_REFERENCE,796.1544032556,2.744059637846577,short_chain_3__rescale_aware,REJECTED,138.2587538815,short_chain_6_scale38__rescale_aware,290.1374271444,short_chain_6_scale38__rescale_aware,false
0,digits_binary,mlp_square_linear_score,0.25,SELECTED,14,10,4,0,254,16,0.9407407407407408,short_chain_6_scale38__rescale_aware,290.1374271444,deep_chain_8_scale45__rescale_aware,true,ok,SAFE,DECISION_PRESERVING_REFERENCE,796.1544032556,2.744059637846577,short_chain_3__rescale_aware,REJECTED,138.2587538815,short_chain_6_scale38__rescale_aware,290.1374271444,short_chain_6_scale38__rescale_aware,false
0,digits_binary,mlp_square_linear_score,0.5,SELECTED,14,10,4,0,254,16,0.9407407407407408,short_chain_6_scale38__rescale_aware,290.1374271444,deep_chain_8_scale45__rescale_aware,true,ok,SAFE,DECISION_PRESERVING_REFERENCE,796.1544032556,2.744059637846577,short_chain_3__rescale_aware,REJECTED,138.2587538815,short_chain_6_scale38__rescale_aware,290.1374271444,short_chain_6_scale38__rescale_aware,false
0,digits_binary,mlp_square_linear_score,0.75,SELECTED,14,10,4,0,254,16,0.9407407407407408,short_chain_6_scale38__rescale_aware,290.1374271444,deep_chain_8_scale45__rescale_aware,true,ok,SAFE,DECISION_PRESERVING_REFERENCE,796.1544032556,2.744059637846577,short_chain_3__rescale_aware,REJECTED,138.2587538815,short_chain_6_scale38__rescale_aware,290.1374271444,short_chain_6_scale38__rescale_aware,false
0,digits_binary,mlp_square_linear_score,0.9,SELECTED,14,10,4,0,254,16,0.9407407407407408,short_chain_6_scale38__rescale_aware,290.1374271444,deep_chain_8_scale45__rescale_aware,true,ok,SAFE,DECISION_PRESERVING_REFERENCE,796.1544032556,2.744059637846577,short_chain_3__rescale_aware,REJECTED,138.2587538815,short_chain_6_scale38__rescale_aware,290.1374271444,short_chain_6_scale38__rescale_aware,false
0,iris_binary,linear_poly3,0.1,SELECTED,14,4,8,2,14,0,1.0,deep_chain_8_scale45__rescale_aware,422.4450985714,deep_chain_8_scale45__rescale_aware,true,ok,SAFE,DECISION_PRESERVING_REFERENCE,422.4450985714,1.0,short_chain_3__baseline_non_rescale,REJECTED,129.8929377143,deep_chain_8_scale45__rescale_aware,422.4450985714,default__rescale_aware,true
0,iris_binary,linear_poly3,0.25,SELECTED,14,4,8,2,14,0,1.0,deep_chain_8_scale45__rescale_aware,422.4450985714,deep_chain_8_scale45__rescale_aware,true,ok,SAFE,DECISION_PRESERVING_REFERENCE,422.4450985714,1.0,short_chain_3__baseline_non_rescale,REJECTED,129.8929377143,deep_chain_8_scale45__rescale_aware,422.4450985714,default__rescale_aware,true
0,iris_binary,linear_poly3,0.5,SELECTED,14,4,8,2,14,0,1.0,deep_chain_8_scale45__rescale_aware,422.4450985714,deep_chain_8_scale45__rescale_aware,true,ok,SAFE,DECISION_PRESERVING_REFERENCE,422.4450985714,1.0,short_chain_3__baseline_non_rescale,REJECTED,129.8929377143,deep_chain_8_scale45__rescale_aware,422.4450985714,default__rescale_aware,true
0,iris_binary,linear_poly3,0.75,SELECTED,14,4,8,2,14,0,1.0,deep_chain_8_scale45__rescale_aware,422.4450985714,deep_chain_8_scale45__rescale_aware,true,ok,SAFE,DECISION_PRESERVING_REFERENCE,422.4450985714,1.0,short_chain_3__baseline_non_rescale,REJECTED,129.8929377143,deep_chain_8_scale45__rescale_aware,422.4450985714,default__rescale_aware,true
0,iris_binary,linear_poly3,0.9,SELECTED,14,4,8,2,14,0,1.0,deep_chain_8_scale45__rescale_aware,422.4450985714,deep_chain_8_scale45__rescale_aware,true,ok,SAFE,DECISION_PRESERVING_REFERENCE,422.4450985714,1.0,short_chain_3__baseline_non_rescale,REJECTED,129.8929377143,deep_chain_8_scale45__rescale_aware,422.4450985714,default__rescale_aware,true
0,iris_binary,mlp_square_linear_score,0.1,SELECTED,14,10,4,0,14,0,1.0,short_chain_6_scale40__baseline_non_rescale,223.2790405714,deep_chain_8_scale45__rescale_aware,true,ok,SAFE,DECISION_PRESERVING_REFERENCE,588.0854380714,2.6338586755228484,short_chain_3__rescale_aware,REJECTED,106.3323036429,short_chain_6_scale40__baseline_non_rescale,223.2790405714,short_chain_6_scale40__baseline_non_rescale,false
0,iris_binary,mlp_square_linear_score,0.25,SELECTED,14,10,4,0,14,0,1.0,short_chain_6_scale40__baseline_non_rescale,223.2790405714,deep_chain_8_scale45__rescale_aware,true,ok,SAFE,DECISION_PRESERVING_REFERENCE,588.0854380714,2.6338586755228484,short_chain_3__rescale_aware,REJECTED,106.3323036429,short_chain_6_scale40__baseline_non_rescale,223.2790405714,short_chain_6_scale40__baseline_non_rescale,false
0,iris_binary,mlp_square_linear_score,0.5,SELECTED,14,10,4,0,14,0,1.0,short_chain_6_scale40__baseline_non_rescale,223.2790405714,deep_chain_8_scale45__rescale_aware,true,ok,SAFE,DECISION_PRESERVING_REFERENCE,588.0854380714,2.6338586755228484,short_chain_3__rescale_aware,REJECTED,106.3323036429,short_chain_6_scale40__baseline_non_rescale,223.2790405714,short_chain_6_scale40__baseline_non_rescale,false
0,iris_binary,mlp_square_linear_score,0.75,SELECTED,14,10,4,0,14,0,1.0,short_chain_6_scale40__baseline_non_rescale,223.2790405714,deep_chain_8_scale45__rescale_aware,true,ok,SAFE,DECISION_PRESERVING_REFERENCE,588.0854380714,2.6338586755228484,short_chain_3__rescale_aware,REJECTED,106.3323036429,short_chain_6_scale40__baseline_non_rescale,223.2790405714,short_chain_6_scale40__baseline_non_rescale,false
0,iris_binary,mlp_square_linear_score,0.9,SELECTED,14,10,4,0,14,0,1.0,short_chain_6_scale40__baseline_non_rescale,223.2790405714,deep_chain_8_scale45__rescale_aware,true,ok,SAFE,DECISION_PRESERVING_REFERENCE,588.0854380714,2.6338586755228484,short_chain_3__rescale_aware,REJECTED,106.3323036429,short_chain_6_scale40__baseline_non_rescale,223.2790405714,short_chain_6_scale40__baseline_non_rescale,false
0,mnist_pool16,linear_poly3,0.1,SELECTED,14,4,8,2,241,8,0.9678714859437751,deep_chain_8_scale45__rescale_aware,921.9110405703,deep_chain_8_scale45__rescale_aware,true,ok,SAFE,DECISION_PRESERVING_REFERENCE,921.9110405703,1.0,short_chain_3__baseline_non_rescale,REJECTED,211.3300142048,deep_chain_8_scale45__rescale_aware,921.9110405703,default__rescale_aware,true
0,mnist_pool16,linear_poly3,0.25,SELECTED,14,4,8,2,241,8,0.9678714859437751,deep_chain_8_scale45__rescale_aware,921.9110405703,deep_chain_8_scale45__rescale_aware,true,ok,SAFE,DECISION_PRESERVING_REFERENCE,921.9110405703,1.0,short_chain_3__baseline_non_rescale,REJECTED,211.3300142048,deep_chain_8_scale45__rescale_aware,921.9110405703,default__rescale_aware,true
0,mnist_pool16,linear_poly3,0.5,SELECTED,14,4,8,2,241,8,0.9678714859437751,deep_chain_8_scale45__rescale_aware,921.9110405703,deep_chain_8_scale45__rescale_aware,true,ok,SAFE,DECISION_PRESERVING_REFERENCE,921.9110405703,1.0,short_chain_3__baseline_non_rescale,REJECTED,211.3300142048,deep_chain_8_scale45__rescale_aware,921.9110405703,default__rescale_aware,true
0,mnist_pool16,linear_poly3,0.75,SELECTED,14,4,8,2,241,8,0.9678714859437751,deep_chain_8_scale45__rescale_aware,921.9110405703,deep_chain_8_scale45__rescale_aware,true,ok,SAFE,DECISION_PRESERVING_REFERENCE,921.9110405703,1.0,short_chain_3__baseline_non_rescale,REJECTED,211.3300142048,deep_chain_8_scale45__rescale_aware,921.9110405703,default__rescale_aware,true
0,mnist_pool16,linear_poly3,0.9,SELECTED,14,4,8,2,241,8,0.9678714859437751,deep_chain_8_scale45__rescale_aware,921.9110405703,deep_chain_8_scale45__rescale_aware,true,ok,SAFE,DECISION_PRESERVING_REFERENCE,921.9110405703,1.0,short_chain_3__baseline_non_rescale,REJECTED,211.3300142048,deep_chain_8_scale45__rescale_aware,921.9110405703,default__rescale_aware,true
0,mnist_pool16,mlp_square_linear_score,0.1,SELECTED,14,10,4,0,246,3,0.9879518072289156,short_chain_6_scale42__baseline_non_rescale,425.1984438072,deep_chain_8_scale45__rescale_aware,true,ok,SAFE,DECISION_PRESERVING_REFERENCE,1215.2566983534,2.8580930058729006,short_chain_3__rescale_aware,REJECTED,218.0188712249,short_chain_6_scale42__baseline_non_rescale,425.1984438072,short_chain_6_scale42__baseline_non_rescale,false
0,mnist_pool16,mlp_square_linear_score,0.25,SELECTED,14,10,4,0,246,3,0.9879518072289156,short_chain_6_scale42__baseline_non_rescale,425.1984438072,deep_chain_8_scale45__rescale_aware,true,ok,SAFE,DECISION_PRESERVING_REFERENCE,1215.2566983534,2.8580930058729006,short_chain_3__rescale_aware,REJECTED,218.0188712249,short_chain_6_scale42__baseline_non_rescale,425.1984438072,short_chain_6_scale42__baseline_non_rescale,false
0,mnist_pool16,mlp_square_linear_score,0.5,SELECTED,14,10,4,0,246,3,0.9879518072289156,short_chain_6_scale42__baseline_non_rescale,425.1984438072,deep_chain_8_scale45__rescale_aware,true,ok,SAFE,DECISION_PRESERVING_REFERENCE,1215.2566983534,2.8580930058729006,short_chain_3__rescale_aware,REJECTED,218.0188712249,short_chain_6_scale42__baseline_non_rescale,425.1984438072,short_chain_6_scale42__baseline_non_rescale,false
0,mnist_pool16,mlp_square_linear_score,0.75,SELECTED,14,10,4,0,246,3,0.9879518072289156,short_chain_6_scale42__baseline_non_rescale,425.1984438072,deep_chain_8_scale45__rescale_aware,true,ok,SAFE,DECISION_PRESERVING_REFERENCE,1215.2566983534,2.8580930058729006,short_chain_3__rescale_aware,REJECTED,218.0188712249,short_chain_6_scale42__baseline_non_rescale,425.1984438072,short_chain_6_scale42__baseline_non_rescale,false
0,mnist_pool16,mlp_square_linear_score,0.9,SELECTED,14,10,4,0,246,3,0.9879518072289156,short_chain_6_scale42__baseline_non_rescale,425.1984438072,deep_chain_8_scale45__rescale_aware,true,ok,SAFE,DECISION_PRESERVING_REFERENCE,1215.2566983534,2.8580930058729006,short_chain_3__rescale_aware,REJECTED,218.0188712249,short_chain_6_scale42__baseline_non_rescale,425.1984438072,short_chain_6_scale42__baseline_non_rescale,false
0,wdbc,linear_poly3,0.1,SELECTED,14,4,8,2,84,1,0.9882352941176471,deep_chain_8_scale45__rescale_aware,562.2069711765,deep_chain_8_scale45__rescale_aware,true,ok,SAFE,DECISION_PRESERVING_REFERENCE,562.2069711765,1.0,short_chain_3__baseline_non_rescale,REJECTED,139.9071384,deep_chain_8_scale45__rescale_aware,562.2069711765,default__rescale_aware,true
0,wdbc,linear_poly3,0.25,SELECTED,14,4,8,2,84,1,0.9882352941176471,deep_chain_8_scale45__rescale_aware,562.2069711765,deep_chain_8_scale45__rescale_aware,true,ok,SAFE,DECISION_PRESERVING_REFERENCE,562.2069711765,1.0,short_chain_3__baseline_non_rescale,REJECTED,139.9071384,deep_chain_8_scale45__rescale_aware,562.2069711765,default__rescale_aware,true
0,wdbc,linear_poly3,0.5,SELECTED,14,4,8,2,84,1,0.9882352941176471,deep_chain_8_scale45__rescale_aware,562.2069711765,deep_chain_8_scale45__rescale_aware,true,ok,SAFE,DECISION_PRESERVING_REFERENCE,562.2069711765,1.0,short_chain_3__baseline_non_rescale,REJECTED,139.9071384,deep_chain_8_scale45__rescale_aware,562.2069711765,default__rescale_aware,true
0,wdbc,linear_poly3,0.75,SELECTED,14,4,8,2,84,1,0.9882352941176471,deep_chain_8_scale45__rescale_aware,562.2069711765,deep_chain_8_scale45__rescale_aware,true,ok,SAFE,DECISION_PRESERVING_REFERENCE,562.2069711765,1.0,short_chain_3__baseline_non_rescale,REJECTED,139.9071384,deep_chain_8_scale45__rescale_aware,562.2069711765,default__rescale_aware,true
