split_seed,dataset_id,model_id,candidate_id,profile,path,evaluation_mode,validation_status,audit_status,status_transition,key_repeats,v_cert,v_amb,successful_key_runs,expected_parameter_failures,unexpected_execution_failures,decision_flips_v_cert,error_violations_v_cert,max_error_v_cert,max_budget_usage_v_cert,mean_total_ms_across_keys
1,digits_binary,linear_poly3,short_chain_3__rescale_aware,short_chain_3,rescale_aware,rescale,FAILED,FAILED,FAILED->FAILED,3,264,6,0,3,0,0,0,,,
1,digits_binary,mlp_square_linear_score,short_chain_3__baseline_non_rescale,short_chain_3,baseline_non_rescale,naive,REJECTED,REJECTED,REJECTED->REJECTED,3,249,21,3,0,0,366,747,0.539553921959,926.38809677,171.819262647
1,digits_binary,mlp_square_linear_score,short_chain_3__rescale_aware,short_chain_3,rescale_aware,rescale,REJECTED,REJECTED,REJECTED->REJECTED,3,249,21,3,0,0,366,747,0.539553921959,926.38809677,138.069273059
1,iris_binary,linear_poly3,short_chain_3__baseline_non_rescale,short_chain_3,baseline_non_rescale,naive,REJECTED,REJECTED,REJECTED->REJECTED,3,16,0,3,0,0,24,48,0.69387790673,20.2452487421,104.23691925
1,iris_binary,linear_poly3,short_chain_3__rescale_aware,short_chain_3,rescale_aware,rescale,FAILED,FAILED,FAILED->FAILED,3,16,0,0,3,0,0,0,,,
1,iris_binary,mlp_square_linear_score,short_chain_3__baseline_non_rescale,short_chain_3,baseline_non_rescale,naive,REJECTED,REJECTED,REJECTED->REJECTED,3,16,0,3,0,0,24,48,0.612110618862,14.3163093422,132.277501729
1,iris_binary,mlp_square_linear_score,short_chain_3__rescale_aware,short_chain_3,rescale_aware,rescale,REJECTED,REJECTED,REJECTED->REJECTED,3,16,0,3,0,0,24,48,0.612110618862,14.3163093422,101.382192271
1,mnist_pool16,linear_poly3,short_chain_3__baseline_non_rescale,short_chain_3,baseline_non_rescale,naive,REJECTED,REJECTED,REJECTED->REJECTED,3,248,3,3,0,0,348,744,0.651387421916,795.932340332,212.063835279
1,mnist_pool16,linear_poly3,short_chain_3__rescale_aware,short_chain_3,rescale_aware,rescale,FAILED,FAILED,FAILED->FAILED,3,248,3,0,3,0,0,0,,,
1,mnist_pool16,mlp_square_linear_score,short_chain_3__baseline_non_rescale,short_chain_3,baseline_non_rescale,naive,REJECTED,REJECTED,REJECTED->REJECTED,3,247,4,3,0,0,366,741,0.624106540799,957.378554483,252.588609217
1,mnist_pool16,mlp_square_linear_score,short_chain_3__rescale_aware,short_chain_3,rescale_aware,rescale,REJECTED,REJECTED,REJECTED->REJECTED,3,247,4,3,0,0,366,741,0.624106540799,957.378554483,220.127702892
1,wdbc,linear_poly3,short_chain_3__baseline_non_rescale,short_chain_3,baseline_non_rescale,naive,REJECTED,REJECTED,REJECTED->REJECTED,3,85,1,3,0,0,165,255,0.585054703048,584.073154413,133.658358512
1,wdbc,linear_poly3,short_chain_3__rescale_aware,short_chain_3,rescale_aware,rescale,FAILED,FAILED,FAILED->FAILED,3,85,1,0,3,0,0,0,,,
