strategy_id,workloads,safe_selections,unsafe_selections,failed_or_incomplete_selections,missing_selections,total_decision_flips,total_score_error_violations,mean_total_ms,std_total_ms,mean_speedup_vs_fixed_default
decision_guard_only,10,10,0,0,0,0,0,205.7940055142,75.9957278599,1.1084
fastest_without_guard,10,0,10,0,0,1330,2706,109.2315954232,37.2032097261,2.1177
fixed_default_safe_path,10,10,0,0,0,0,0,230.4545385834,93.1922598701,1.0000
output_error_guard_only,10,10,0,0,0,0,0,205.7940055142,75.9957278599,1.1084
proposed_dual_guard,10,10,0,0,0,0,0,205.7940055142,75.9957278599,1.1084
rescale_path_only,10,10,0,0,0,0,0,208.1922659487,75.8511344192,1.0938
