timestamp,dataset,model,profile,path,repeat,tag,status,exit_code,summary_path,log_path,plain_accuracy,ckks_accuracy,decision_flips,score_error_violations,max_y_error,mean_eval_only_ms,mean_total_eval_ms,accepted
2026-06-25T15:36:23+09:00,wdbc,linear_poly3,default,rescale_aware,1,tabular_sweep_wdbc_linear_poly3_default_rescale_aware_r1,ok,0,results/ckks_tabular_inference/tabular_sweep_wdbc_linear_poly3_default_rescale_aware_r1/summary.csv,results/ckks_tabular_profile_sweep_repeated/logs/tabular_sweep_wdbc_linear_poly3_default_rescale_aware_r1.log,0.9649122807,0.9649122807,0,0,0.0000002079,46.0871627836,179.2224999474,true
2026-06-25T15:36:54+09:00,wdbc,linear_poly3,default,rescale_aware,2,tabular_sweep_wdbc_linear_poly3_default_rescale_aware_r2,ok,0,results/ckks_tabular_inference/tabular_sweep_wdbc_linear_poly3_default_rescale_aware_r2/summary.csv,results/ckks_tabular_profile_sweep_repeated/logs/tabular_sweep_wdbc_linear_poly3_default_rescale_aware_r2.log,0.9649122807,0.9649122807,0,0,0.0000002080,45.4637316784,177.0431010585,true
2026-06-25T15:37:24+09:00,wdbc,linear_poly3,default,rescale_aware,3,tabular_sweep_wdbc_linear_poly3_default_rescale_aware_r3,ok,0,results/ckks_tabular_inference/tabular_sweep_wdbc_linear_poly3_default_rescale_aware_r3/summary.csv,results/ckks_tabular_profile_sweep_repeated/logs/tabular_sweep_wdbc_linear_poly3_default_rescale_aware_r3.log,0.9649122807,0.9649122807,0,0,0.0000002077,49.9788519240,191.8735518070,true
2026-06-25T15:37:57+09:00,wdbc,linear_poly3,default,baseline_non_rescale,1,tabular_sweep_wdbc_linear_poly3_default_baseline_non_rescale_r1,ok,0,results/ckks_tabular_inference/tabular_sweep_wdbc_linear_poly3_default_baseline_non_rescale_r1/summary.csv,results/ckks_tabular_profile_sweep_repeated/logs/tabular_sweep_wdbc_linear_poly3_default_baseline_non_rescale_r1.log,0.9649122807,0.9649122807,0,0,0.0000000000,54.5517257076,217.2685025614,true
2026-06-25T15:38:35+09:00,wdbc,linear_poly3,default,baseline_non_rescale,2,tabular_sweep_wdbc_linear_poly3_default_baseline_non_rescale_r2,ok,0,results/ckks_tabular_inference/tabular_sweep_wdbc_linear_poly3_default_baseline_non_rescale_r2/summary.csv,results/ckks_tabular_profile_sweep_repeated/logs/tabular_sweep_wdbc_linear_poly3_default_baseline_non_rescale_r2.log,0.9649122807,0.9649122807,0,0,0.0000000000,51.2889215497,206.2951941813,true
2026-06-25T15:39:10+09:00,wdbc,linear_poly3,default,baseline_non_rescale,3,tabular_sweep_wdbc_linear_poly3_default_baseline_non_rescale_r3,ok,0,results/ckks_tabular_inference/tabular_sweep_wdbc_linear_poly3_default_baseline_non_rescale_r3/summary.csv,results/ckks_tabular_profile_sweep_repeated/logs/tabular_sweep_wdbc_linear_poly3_default_baseline_non_rescale_r3.log,0.9649122807,0.9649122807,0,0,0.0000000000,50.7599311462,204.7030934854,true
2026-06-25T15:39:46+09:00,wdbc,linear_poly3,scale42,rescale_aware,1,tabular_sweep_wdbc_linear_poly3_scale42_rescale_aware_r1,ok,0,results/ckks_tabular_inference/tabular_sweep_wdbc_linear_poly3_scale42_rescale_aware_r1/summary.csv,results/ckks_tabular_profile_sweep_repeated/logs/tabular_sweep_wdbc_linear_poly3_scale42_rescale_aware_r1.log,0.9649122807,0.9649122807,0,0,0.0000000001,51.2601682924,193.1022292982,true
2026-06-25T15:40:19+09:00,wdbc,linear_poly3,scale42,rescale_aware,2,tabular_sweep_wdbc_linear_poly3_scale42_rescale_aware_r2,ok,0,results/ckks_tabular_inference/tabular_sweep_wdbc_linear_poly3_scale42_rescale_aware_r2/summary.csv,results/ckks_tabular_profile_sweep_repeated/logs/tabular_sweep_wdbc_linear_poly3_scale42_rescale_aware_r2.log,0.9649122807,0.9649122807,0,0,0.0000000001,51.1789340526,192.6733446491,true
2026-06-25T15:40:52+09:00,wdbc,linear_poly3,scale42,rescale_aware,3,tabular_sweep_wdbc_linear_poly3_scale42_rescale_aware_r3,ok,0,results/ckks_tabular_inference/tabular_sweep_wdbc_linear_poly3_scale42_rescale_aware_r3/summary.csv,results/ckks_tabular_profile_sweep_repeated/logs/tabular_sweep_wdbc_linear_poly3_scale42_rescale_aware_r3.log,0.9649122807,0.9649122807,0,0,0.0000000000,52.0835228538,195.7290540877,true
2026-06-25T15:41:25+09:00,wdbc,linear_poly3,scale42,baseline_non_rescale,1,tabular_sweep_wdbc_linear_poly3_scale42_baseline_non_rescale_r1,ok,0,results/ckks_tabular_inference/tabular_sweep_wdbc_linear_poly3_scale42_baseline_non_rescale_r1/summary.csv,results/ckks_tabular_profile_sweep_repeated/logs/tabular_sweep_wdbc_linear_poly3_scale42_baseline_non_rescale_r1.log,0.9649122807,0.9649122807,0,0,0.0000000000,51.3916952105,206.6902110819,true
2026-06-25T15:42:01+09:00,wdbc,linear_poly3,scale42,baseline_non_rescale,2,tabular_sweep_wdbc_linear_poly3_scale42_baseline_non_rescale_r2,ok,0,results/ckks_tabular_inference/tabular_sweep_wdbc_linear_poly3_scale42_baseline_non_rescale_r2/summary.csv,results/ckks_tabular_profile_sweep_repeated/logs/tabular_sweep_wdbc_linear_poly3_scale42_baseline_non_rescale_r2.log,0.9649122807,0.9649122807,0,0,0.0000000000,54.8772399357,218.1532139532,true
2026-06-25T15:42:38+09:00,wdbc,linear_poly3,scale42,baseline_non_rescale,3,tabular_sweep_wdbc_linear_poly3_scale42_baseline_non_rescale_r3,ok,0,results/ckks_tabular_inference/tabular_sweep_wdbc_linear_poly3_scale42_baseline_non_rescale_r3/summary.csv,results/ckks_tabular_profile_sweep_repeated/logs/tabular_sweep_wdbc_linear_poly3_scale42_baseline_non_rescale_r3.log,0.9649122807,0.9649122807,0,0,0.0000000001,53.6068579123,214.3043396959,true
2026-06-25T15:43:15+09:00,wdbc,linear_poly3,scale40,rescale_aware,1,tabular_sweep_wdbc_linear_poly3_scale40_rescale_aware_r1,ok,0,results/ckks_tabular_inference/tabular_sweep_wdbc_linear_poly3_scale40_rescale_aware_r1/summary.csv,results/ckks_tabular_profile_sweep_repeated/logs/tabular_sweep_wdbc_linear_poly3_scale40_rescale_aware_r1.log,0.9649122807,0.9649122807,0,0,0.0000000003,56.4081664620,209.7794323041,true
2026-06-25T15:43:51+09:00,wdbc,linear_poly3,scale40,rescale_aware,2,tabular_sweep_wdbc_linear_poly3_scale40_rescale_aware_r2,ok,0,results/ckks_tabular_inference/tabular_sweep_wdbc_linear_poly3_scale40_rescale_aware_r2/summary.csv,results/ckks_tabular_profile_sweep_repeated/logs/tabular_sweep_wdbc_linear_poly3_scale40_rescale_aware_r2.log,0.9649122807,0.9649122807,0,0,0.0000000001,53.5613379357,199.4468063333,true
