dataset_id,model_id,profile,path,requested_runs,ok_runs,failed_runs,accepted_runs,strict_safe,mean_eval_only_ms,std_eval_only_ms,mean_total_ms,std_total_ms,max_decision_flips,sum_decision_flips,max_score_error_violations,sum_score_error_violations,max_y_error
banknote,mlp_square_linear_score,scale42,rescale_aware,3,3,0,3,true,120.5887447994,0.2030128370,211.6537736375,0.5180564458,0,0,0,0,0.0000000004
banknote,mlp_square_linear_score,short_chain_3,baseline_non_rescale,3,3,0,0,false,42.9120357961,0.0638022716,101.1387051586,0.1393339427,183,549,412,1236,0.6212435602
banknote,mlp_square_linear_score,short_chain_3,rescale_aware,3,3,0,0,false,45.6484755639,0.1222717839,75.5817784126,0.1421459482,183,549,412,1236,0.6212435602
banknote,mlp_square_linear_score,short_chain_5,baseline_non_rescale,3,3,0,0,false,70.5092571877,0.2249460054,148.7214468406,0.3103198825,183,549,412,1236,0.6212435592
banknote,mlp_square_linear_score,short_chain_5,rescale_aware,3,3,0,0,false,82.0524481723,0.1873038001,152.8841606222,0.3936958591,183,549,412,1236,0.6212435628
banknote,mlp_square_linear_score,short_chain_6_scale38,baseline_non_rescale,3,3,0,3,true,80.7141296796,0.2005033658,170.4841721893,0.3142169737,0,0,0,0,0.0000000083
banknote,mlp_square_linear_score,short_chain_6_scale38,rescale_aware,3,3,0,3,true,96.0222346222,0.1879421483,176.9269648269,0.1525302347,0,0,0,0,0.0000000097
banknote,mlp_square_linear_score,short_chain_6_scale40,baseline_non_rescale,3,3,0,3,true,80.4880376456,0.1752026239,170.1937204474,0.3175233827,0,0,0,0,0.0000000019
banknote,mlp_square_linear_score,short_chain_6_scale40,rescale_aware,3,3,0,3,true,95.5657006748,0.3521669437,176.4938782937,0.4908161107,0,0,0,0,0.0000000011
banknote,mlp_square_linear_score,short_chain_6_scale42,baseline_non_rescale,3,3,0,3,true,80.8033387524,0.1988743365,170.6930623220,0.2839335556,0,0,0,0,0.0000000005
