split_seed,dataset_id,model_id,alpha,selection_metric,oracle_outcome,planner_outcome,oracle_candidate,planner_candidate,oracle_mean_total_ms,planner_mean_total_ms,oracle_candidate_count,planner_candidate_count,oracle_safe_count,planner_safe_count,oracle_rejected_count,planner_rejected_count,oracle_failed_count,planner_failed_count,safe_recall_defined,safe_recall,optimum_recall_defined,optimum_recall,latency_regret_defined,latency_regret,pruning_ratio,false_no_safe,planning_overhead_us
0,iris_binary,linear_poly3,0.5,mean_total_ms,SELECTED,SELECTED,deep_chain_8_scale45__rescale_aware,deep_chain_8_scale45__rescale_aware,422.445098571,422.445098571,14,6,4,2,8,3,2,1,true,0.5,true,1,true,0,0.571428571429,false,275.837
0,iris_binary,linear_poly3,0.75,mean_total_ms,SELECTED,SELECTED,deep_chain_8_scale45__rescale_aware,deep_chain_8_scale45__rescale_aware,422.445098571,422.445098571,14,6,4,2,8,3,2,1,true,0.5,true,1,true,0,0.571428571429,false,70.593
0,iris_binary,linear_poly3,0.9,mean_total_ms,SELECTED,SELECTED,deep_chain_8_scale45__rescale_aware,deep_chain_8_scale45__rescale_aware,422.445098571,422.445098571,14,6,4,2,8,3,2,1,true,0.5,true,1,true,0,0.571428571429,false,69.049
0,iris_binary,mlp_square_linear_score,0.1,mean_total_ms,SELECTED,SELECTED,short_chain_6_scale40__baseline_non_rescale,short_chain_6_scale38__baseline_non_rescale,223.279040571,232.634803357,14,8,10,4,4,4,0,0,true,0.4,true,0,true,0.0419016615342,0.428571428571,false,80.862
0,iris_binary,mlp_square_linear_score,0.25,mean_total_ms,SELECTED,SELECTED,short_chain_6_scale40__baseline_non_rescale,short_chain_6_scale38__baseline_non_rescale,223.279040571,232.634803357,14,8,10,4,4,4,0,0,true,0.4,true,0,true,0.0419016615342,0.428571428571,false,74.359
0,iris_binary,mlp_square_linear_score,0.5,mean_total_ms,SELECTED,SELECTED,short_chain_6_scale40__baseline_non_rescale,short_chain_6_scale38__baseline_non_rescale,223.279040571,232.634803357,14,8,10,4,4,4,0,0,true,0.4,true,0,true,0.0419016615342,0.428571428571,false,65.493
0,iris_binary,mlp_square_linear_score,0.75,mean_total_ms,SELECTED,SELECTED,short_chain_6_scale40__baseline_non_rescale,short_chain_6_scale38__baseline_non_rescale,223.279040571,232.634803357,14,8,10,4,4,4,0,0,true,0.4,true,0,true,0.0419016615342,0.428571428571,false,70.172
0,iris_binary,mlp_square_linear_score,0.9,mean_total_ms,SELECTED,SELECTED,short_chain_6_scale40__baseline_non_rescale,short_chain_6_scale38__baseline_non_rescale,223.279040571,232.634803357,14,8,10,4,4,4,0,0,true,0.4,true,0,true,0.0419016615342,0.428571428571,false,67.476
0,mnist_pool16,linear_poly3,0.1,mean_total_ms,SELECTED,SELECTED,deep_chain_8_scale45__rescale_aware,deep_chain_8_scale45__rescale_aware,921.91104057,921.91104057,14,6,4,2,8,3,2,1,true,0.5,true,1,true,0,0.571428571429,false,69.109
0,mnist_pool16,linear_poly3,0.25,mean_total_ms,SELECTED,SELECTED,deep_chain_8_scale45__rescale_aware,deep_chain_8_scale45__rescale_aware,921.91104057,921.91104057,14,6,4,2,8,3,2,1,true,0.5,true,1,true,0,0.571428571429,false,128.171
0,mnist_pool16,linear_poly3,0.5,mean_total_ms,SELECTED,SELECTED,deep_chain_8_scale45__rescale_aware,deep_chain_8_scale45__rescale_aware,921.91104057,921.91104057,14,6,4,2,8,3,2,1,true,0.5,true,1,true,0,0.571428571429,false,79.109
0,mnist_pool16,linear_poly3,0.75,mean_total_ms,SELECTED,SELECTED,deep_chain_8_scale45__rescale_aware,deep_chain_8_scale45__rescale_aware,921.91104057,921.91104057,14,6,4,2,8,3,2,1,true,0.5,true,1,true,0,0.571428571429,false,60.604
0,mnist_pool16,linear_poly3,0.9,mean_total_ms,SELECTED,SELECTED,deep_chain_8_scale45__rescale_aware,deep_chain_8_scale45__rescale_aware,921.91104057,921.91104057,14,6,4,2,8,3,2,1,true,0.5,true,1,true,0,0.571428571429,false,647.214
0,mnist_pool16,mlp_square_linear_score,0.1,mean_total_ms,SELECTED,SELECTED,short_chain_6_scale42__baseline_non_rescale,short_chain_6_scale38__baseline_non_rescale,425.198443807,437.018334438,14,8,10,4,4,4,0,0,true,0.4,true,0,true,0.027798527494,0.428571428571,false,93.525
0,mnist_pool16,mlp_square_linear_score,0.25,mean_total_ms,SELECTED,SELECTED,short_chain_6_scale42__baseline_non_rescale,short_chain_6_scale38__baseline_non_rescale,425.198443807,437.018334438,14,8,10,4,4,4,0,0,true,0.4,true,0,true,0.027798527494,0.428571428571,false,874.311
0,mnist_pool16,mlp_square_linear_score,0.5,mean_total_ms,SELECTED,SELECTED,short_chain_6_scale42__baseline_non_rescale,short_chain_6_scale38__baseline_non_rescale,425.198443807,437.018334438,14,8,10,4,4,4,0,0,true,0.4,true,0,true,0.027798527494,0.428571428571,false,66.705
0,mnist_pool16,mlp_square_linear_score,0.75,mean_total_ms,SELECTED,SELECTED,short_chain_6_scale42__baseline_non_rescale,short_chain_6_scale38__baseline_non_rescale,425.198443807,437.018334438,14,8,10,4,4,4,0,0,true,0.4,true,0,true,0.027798527494,0.428571428571,false,141.335
0,mnist_pool16,mlp_square_linear_score,0.9,mean_total_ms,SELECTED,SELECTED,short_chain_6_scale42__baseline_non_rescale,short_chain_6_scale38__baseline_non_rescale,425.198443807,437.018334438,14,8,10,4,4,4,0,0,true,0.4,true,0,true,0.027798527494,0.428571428571,false,225.493
0,wdbc,linear_poly3,0.1,mean_total_ms,SELECTED,SELECTED,deep_chain_8_scale45__rescale_aware,deep_chain_8_scale45__rescale_aware,562.206971177,562.206971177,14,6,4,2,8,3,2,1,true,0.5,true,1,true,0,0.571428571429,false,134.823
0,wdbc,linear_poly3,0.25,mean_total_ms,SELECTED,SELECTED,deep_chain_8_scale45__rescale_aware,deep_chain_8_scale45__rescale_aware,562.206971177,562.206971177,14,6,4,2,8,3,2,1,true,0.5,true,1,true,0,0.571428571429,false,128.241
0,wdbc,linear_poly3,0.5,mean_total_ms,SELECTED,SELECTED,deep_chain_8_scale45__rescale_aware,deep_chain_8_scale45__rescale_aware,562.206971177,562.206971177,14,6,4,2,8,3,2,1,true,0.5,true,1,true,0,0.571428571429,false,69.971
0,wdbc,linear_poly3,0.75,mean_total_ms,SELECTED,SELECTED,deep_chain_8_scale45__rescale_aware,deep_chain_8_scale45__rescale_aware,562.206971177,562.206971177,14,6,4,2,8,3,2,1,true,0.5,true,1,true,0,0.571428571429,false,63.519
0,wdbc,linear_poly3,0.9,mean_total_ms,SELECTED,SELECTED,deep_chain_8_scale45__rescale_aware,deep_chain_8_scale45__rescale_aware,562.206971177,562.206971177,14,6,4,2,8,3,2,1,true,0.5,true,1,true,0,0.571428571429,false,64.471
0,wdbc,mlp_square_linear_score,0.1,mean_total_ms,SELECTED,SELECTED,short_chain_6_scale42__baseline_non_rescale,short_chain_6_scale38__rescale_aware,268.704138129,274.744710424,14,8,10,4,4,4,0,0,true,0.4,true,0,true,0.0224803843221,0.428571428571,false,66.465
0,wdbc,mlp_square_linear_score,0.25,mean_total_ms,SELECTED,SELECTED,short_chain_6_scale42__baseline_non_rescale,short_chain_6_scale38__rescale_aware,268.704138129,274.744710424,14,8,10,4,4,4,0,0,true,0.4,true,0,true,0.0224803843221,0.428571428571,false,66.455
0,wdbc,mlp_square_linear_score,0.5,mean_total_ms,SELECTED,SELECTED,short_chain_6_scale42__baseline_non_rescale,short_chain_6_scale38__rescale_aware,268.704138129,274.744710424,14,8,10,4,4,4,0,0,true,0.4,true,0,true,0.0224803843221,0.428571428571,false,65.943
0,wdbc,mlp_square_linear_score,0.75,mean_total_ms,SELECTED,SELECTED,short_chain_6_scale42__baseline_non_rescale,short_chain_6_scale38__rescale_aware,268.704138129,274.744710424,14,8,10,4,4,4,0,0,true,0.4,true,0,true,0.0224803843221,0.428571428571,false,72.546
0,wdbc,mlp_square_linear_score,0.9,mean_total_ms,SELECTED,SELECTED,short_chain_6_scale42__baseline_non_rescale,short_chain_6_scale38__rescale_aware,268.704138129,274.744710424,14,8,10,4,4,4,0,0,true,0.4,true,0,true,0.0224803843221,0.428571428571,false,62.517
1,banknote,linear_poly3,0.1,mean_total_ms,SELECTED,SELECTED,deep_chain_8_scale45__rescale_aware,deep_chain_8_scale45__rescale_aware,409.230341551,409.230341551,14,6,4,2,8,3,2,1,true,0.5,true,1,true,0,0.571428571429,false,81.463
1,banknote,linear_poly3,0.25,mean_total_ms,SELECTED,SELECTED,deep_chain_8_scale45__rescale_aware,deep_chain_8_scale45__rescale_aware,409.230341551,409.230341551,14,6,4,2,8,3,2,1,true,0.5,true,1,true,0,0.571428571429,false,63.389
1,banknote,linear_poly3,0.5,mean_total_ms,SELECTED,SELECTED,deep_chain_8_scale45__rescale_aware,deep_chain_8_scale45__rescale_aware,409.230341551,409.230341551,14,6,4,2,8,3,2,1,true,0.5,true,1,true,0,0.571428571429,false,59.362
1,banknote,linear_poly3,0.75,mean_total_ms,SELECTED,SELECTED,deep_chain_8_scale45__rescale_aware,deep_chain_8_scale45__rescale_aware,409.230341551,409.230341551,14,6,4,2,8,3,2,1,true,0.5,true,1,true,0,0.571428571429,false,60.063
1,banknote,linear_poly3,0.9,mean_total_ms,SELECTED,SELECTED,deep_chain_8_scale45__rescale_aware,deep_chain_8_scale45__rescale_aware,409.230341551,409.230341551,14,6,4,2,8,3,2,1,true,0.5,true,1,true,0,0.571428571429,false,355.116
1,banknote,mlp_square_linear_score,0.1,mean_total_ms,SELECTED,SELECTED,short_chain_6_scale38__baseline_non_rescale,short_chain_6_scale38__baseline_non_rescale,192.475379063,192.475379063,14,8,10,4,4,4,0,0,true,0.4,true,1,true,0,0.428571428571,false,153.678
1,banknote,mlp_square_linear_score,0.25,mean_total_ms,SELECTED,SELECTED,short_chain_6_scale38__baseline_non_rescale,short_chain_6_scale38__baseline_non_rescale,192.475379063,192.475379063,14,8,10,4,4,4,0,0,true,0.4,true,1,true,0,0.428571428571,false,81.112
1,banknote,mlp_square_linear_score,0.5,mean_total_ms,SELECTED,SELECTED,short_chain_6_scale38__baseline_non_rescale,short_chain_6_scale38__baseline_non_rescale,192.475379063,192.475379063,14,8,10,4,4,4,0,0,true,0.4,true,1,true,0,0.428571428571,false,72.236
1,banknote,mlp_square_linear_score,0.75,mean_total_ms,SELECTED,SELECTED,short_chain_6_scale38__baseline_non_rescale,short_chain_6_scale38__baseline_non_rescale,192.475379063,192.475379063,14,8,10,4,4,4,0,0,true,0.4,true,1,true,0,0.428571428571,false,74.7
1,banknote,mlp_square_linear_score,0.9,mean_total_ms,SELECTED,SELECTED,short_chain_6_scale38__baseline_non_rescale,short_chain_6_scale38__baseline_non_rescale,192.475379063,192.475379063,14,8,10,4,4,4,0,0,true,0.4,true,1,true,0,0.428571428571,false,67.907
1,digits_binary,linear_poly3,0.1,mean_total_ms,SELECTED,SELECTED,deep_chain_8_scale45__rescale_aware,deep_chain_8_scale45__rescale_aware,628.606152989,628.606152989,14,6,4,2,8,3,2,1,true,0.5,true,1,true,0,0.571428571429,false,216.387
1,digits_binary,linear_poly3,0.25,mean_total_ms,SELECTED,SELECTED,deep_chain_8_scale45__rescale_aware,deep_chain_8_scale45__rescale_aware,628.606152989,628.606152989,14,6,4,2,8,3,2,1,true,0.5,true,1,true,0,0.571428571429,false,62.517
1,digits_binary,linear_poly3,0.5,mean_total_ms,SELECTED,SELECTED,deep_chain_8_scale45__rescale_aware,deep_chain_8_scale45__rescale_aware,628.606152989,628.606152989,14,6,4,2,8,3,2,1,true,0.5,true,1,true,0,0.571428571429,false,130.105
1,digits_binary,linear_poly3,0.75,mean_total_ms,SELECTED,SELECTED,deep_chain_8_scale45__rescale_aware,deep_chain_8_scale45__rescale_aware,628.606152989,628.606152989,14,6,4,2,8,3,2,1,true,0.5,true,1,true,0,0.571428571429,false,126.457
1,digits_binary,linear_poly3,0.9,mean_total_ms,SELECTED,SELECTED,deep_chain_8_scale45__rescale_aware,deep_chain_8_scale45__rescale_aware,628.606152989,628.606152989,14,6,4,2,8,3,2,1,true,0.5,true,1,true,0,0.571428571429,false,1128.017
1,digits_binary,mlp_square_linear_score,0.1,mean_total_ms,SELECTED,SELECTED,short_chain_6_scale38__baseline_non_rescale,short_chain_6_scale38__baseline_non_rescale,252.931458819,252.931458819,14,8,10,4,4,4,0,0,true,0.4,true,1,true,0,0.428571428571,false,110.027
1,digits_binary,mlp_square_linear_score,0.25,mean_total_ms,SELECTED,SELECTED,short_chain_6_scale38__baseline_non_rescale,short_chain_6_scale38__baseline_non_rescale,252.931458819,252.931458819,14,8,10,4,4,4,0,0,true,0.4,true,1,true,0,0.428571428571,false,69.49
1,digits_binary,mlp_square_linear_score,0.5,mean_total_ms,SELECTED,SELECTED,short_chain_6_scale38__baseline_non_rescale,short_chain_6_scale38__baseline_non_rescale,252.931458819,252.931458819,14,8,10,4,4,4,0,0,true,0.4,true,1,true,0,0.428571428571,false,81.754
1,digits_binary,mlp_square_linear_score,0.75,mean_total_ms,SELECTED,SELECTED,short_chain_6_scale38__baseline_non_rescale,short_chain_6_scale38__baseline_non_rescale,252.931458819,252.931458819,14,8,10,4,4,4,0,0,true,0.4,true,1,true,0,0.428571428571,false,154.51
1,digits_binary,mlp_square_linear_score,0.9,mean_total_ms,SELECTED,SELECTED,short_chain_6_scale38__baseline_non_rescale,short_chain_6_scale38__baseline_non_rescale,252.931458819,252.931458819,14,8,10,4,4,4,0,0,true,0.4,true,1,true,0,0.428571428571,false,224.872
1,iris_binary,linear_poly3,0.1,mean_total_ms,SELECTED,SELECTED,deep_chain_8_scale45__rescale_aware,deep_chain_8_scale45__rescale_aware,348.548554286,348.548554286,14,6,4,2,8,3,2,1,true,0.5,true,1,true,0,0.571428571429,false,73.789
1,iris_binary,linear_poly3,0.25,mean_total_ms,SELECTED,SELECTED,deep_chain_8_scale45__rescale_aware,deep_chain_8_scale45__rescale_aware,348.548554286,348.548554286,14,6,4,2,8,3,2,1,true,0.5,true,1,true,0,0.571428571429,false,66.585
1,iris_binary,linear_poly3,0.5,mean_total_ms,SELECTED,SELECTED,deep_chain_8_scale45__rescale_aware,deep_chain_8_scale45__rescale_aware,348.548554286,348.548554286,14,6,4,2,8,3,2,1,true,0.5,true,1,true,0,0.571428571429,false,62.678
1,iris_binary,linear_poly3,0.75,mean_total_ms,SELECTED,SELECTED,deep_chain_8_scale45__rescale_aware,deep_chain_8_scale45__rescale_aware,348.548554286,348.548554286,14,6,4,2,8,3,2,1,true,0.5,true,1,true,0,0.571428571429,false,87.133
