split_seed,dataset_id,model_id,workload_id,id,role,candidate_id,profile_name,evaluation_mode,log_n,log_q,log_p,log_default_scale,setup_ms,arm_id,observations,decision_flips,max_y_error,mean_total_ms,median_total_ms,p95_total_ms,stddev_total_ms,iqr_total_ms,mean_eval_only_ms,median_eval_only_ms,p95_eval_only_ms,stddev_eval_only_ms,iqr_eval_only_ms
1,digits_binary,mlp_square_linear_score,split_seed_1/digits_binary/mlp_square_linear_score,reference,ckks_reference,deep_chain_8_scale45__rescale_aware,deep_chain_8_scale45,rescale,15,"[56, 46, 46, 46, 45, 45, 46, 45]","[56, 55]",45,183.853271,reference,36,0,4.5636827650241685e-12,871.7867605555555,879.462351,1003.779939,69.77494106134478,75.20479699999999,439.18136655555566,443.831913,533.615549,43.745408812169146,48.77873500000004
1,iris_binary,linear_poly3,split_seed_1/iris_binary/linear_poly3,direct,direct_synthesis,synth_analysis_minimum_rescale_N13_Q7_S20_d2d0b13c1583,synth_analysis_minimum_rescale_N13_Q7_S20_d2d0b13c1583,rescale,13,"[23, 20, 20, 20, 20, 20, 20]",[30],20,63.382591,direct,36,0,0.013146369299892546,80.86686388888887,73.763212,101.797408,26.4810231665707,13.592729000000006,32.92939416666667,29.233394999999998,44.433635,16.144197110318782,5.731826999999999
1,iris_binary,linear_poly3,split_seed_1/iris_binary/linear_poly3,catalog,bounded_catalog_oracle,deep_chain_8_scale45__rescale_aware,deep_chain_8_scale45,rescale,15,"[56, 46, 46, 46, 45, 45, 46, 45]","[56, 55]",45,179.436572,catalog,36,0,1.895494872172776e-11,410.5504865277779,403.926254,476.325436,36.52616229629913,52.531803000000025,145.18848852777774,140.948309,187.092925,18.991468528583244,22.91895100000002
1,iris_binary,linear_poly3,split_seed_1/iris_binary/linear_poly3,reference,ckks_reference,deep_chain_8_scale45__rescale_aware,deep_chain_8_scale45,rescale,15,"[56, 46, 46, 46, 45, 45, 46, 45]","[56, 55]",45,199.473696,reference,36,0,1.3052947611669197e-11,441.8886610277777,425.100541,535.630722,74.49351694872135,75.77909,155.20681241666662,148.021933,197.213519,24.90256523763408,24.470653
1,iris_binary,mlp_square_linear_score,split_seed_1/iris_binary/mlp_square_linear_score,direct,direct_synthesis,synth_analysis_minimum_rescale_N13_Q6_S20_a26fec41a3b2,synth_analysis_minimum_rescale_N13_Q6_S20_a26fec41a3b2,rescale,13,"[23, 20, 20, 20, 20, 20]",[30],20,42.024831,direct,36,0,0.000264281037627212,121.14389458333338,115.003626,176.652178,21.570138543490966,18.369423999999995,74.67239483333331,70.005625,101.35310299999999,13.489462125502145,12.019048999999995
1,iris_binary,mlp_square_linear_score,split_seed_1/iris_binary/mlp_square_linear_score,catalog,bounded_catalog_oracle,short_chain_6_scale40__baseline_non_rescale,short_chain_6_scale40,naive,14,"[56, 46, 46, 46, 45, 45]","[56, 55]",40,82.297869,catalog,36,0,4.5637216228300304e-10,222.5415059444445,213.965612,271.839005,26.433507092639278,30.77571900000001,106.90478513888887,99.500613,142.25540900000001,16.890140894645445,28.062076000000005
1,iris_binary,mlp_square_linear_score,split_seed_1/iris_binary/mlp_square_linear_score,reference,ckks_reference,deep_chain_8_scale45__rescale_aware,deep_chain_8_scale45,rescale,15,"[56, 46, 46, 46, 45, 45, 46, 45]","[56, 55]",45,217.240497,reference,36,0,1.8866019857455285e-11,640.5411870277778,636.10993,719.113834,42.818921482505594,74.61975800000005,379.72207480555556,378.843562,456.839964,34.64143194676554,52.08609100000001
1,mnist_pool16,linear_poly3,split_seed_1/mnist_pool16/linear_poly3,direct,direct_synthesis,synth_repair_scale_1_rescale_N13_Q7_S24_fe527e522ab1,synth_repair_scale_1_rescale_N13_Q7_S24_fe527e522ab1,rescale,13,"[27, 24, 24, 24, 24, 24, 24]",[30],24,60.044096,direct,36,0,0.00213844160419302,196.1294548888889,182.792536,243.023282,46.328438008435754,24.65757400000001,39.41452236111112,37.465965,56.417296,8.888480833379788,10.154496000000009
1,mnist_pool16,linear_poly3,split_seed_1/mnist_pool16/linear_poly3,catalog,bounded_catalog_oracle,deep_chain_8_scale45__rescale_aware,deep_chain_8_scale45,rescale,15,"[56, 46, 46, 46, 45, 45, 46, 45]","[56, 55]",45,416.282302,catalog,36,0,5.367151167945394e-12,957.5660707222222,930.486238,1174.388235,123.02270738947814,67.02236700000003,189.37745441666664,173.08819,233.73192,74.5500106651281,29.34289000000001
1,mnist_pool16,linear_poly3,split_seed_1/mnist_pool16/linear_poly3,reference,ckks_reference,deep_chain_8_scale45__rescale_aware,deep_chain_8_scale45,rescale,15,"[56, 46, 46, 46, 45, 45, 46, 45]","[56, 55]",45,165.179898,reference,36,0,3.978373186441786e-12,952.8055427777776,932.242825,1066.499446,97.05942860572604,61.08890699999995,174.74149444444447,166.472469,224.631367,26.445239065599566,36.523213999999996
