split_seed,dataset_id,model_id,workload_id,numerator_arm_id,denominator_arm_id,pairs,geometric_mean_total_ratio,mean_paired_total_difference_ms,median_paired_total_difference_ms,p95_paired_total_difference_ms,geometric_mean_eval_only_ratio,mean_paired_eval_only_difference_ms,median_paired_eval_only_difference_ms,p95_paired_eval_only_difference_ms
0,banknote,linear_poly3,split_seed_0/banknote/linear_poly3,catalog,direct,36,5.013474295372225,344.26364633333344,328.978199,560.552871,4.504356520009981,115.99123933333333,107.486325,166.36207100000001
0,banknote,linear_poly3,split_seed_0/banknote/linear_poly3,reference,direct,36,5.110659217417592,353.2881909166667,323.397882,592.431822,4.568044320665761,118.7760469722222,111.76465200000001,221.91454299999998
0,banknote,linear_poly3,split_seed_0/banknote/linear_poly3,reference,catalog,36,1.019384745252424,9.024544583333336,10.883233000000018,272.58822100000003,1.0141391562530309,2.7848076388888843,0.6915180000000021,84.17304799999997
0,banknote,mlp_square_linear_score,split_seed_0/banknote/mlp_square_linear_score,catalog,direct,36,1.9160831594100434,107.6555253611111,98.208442,181.824269,1.4587850139283511,33.74944066666667,29.668542000000002,85.600402
0,banknote,mlp_square_linear_score,split_seed_0/banknote/mlp_square_linear_score,reference,direct,36,5.397926134460818,510.3644211666667,509.844596,583.190253,5.135650445322595,295.7071894444445,295.51495,344.75177
0,banknote,mlp_square_linear_score,split_seed_0/banknote/mlp_square_linear_score,reference,catalog,36,2.817166941816253,402.7088958055554,404.50541699999997,488.333973,3.520498494492235,261.9577487777778,267.020516,306.068075
0,digits_binary,linear_poly3,split_seed_0/digits_binary/linear_poly3,catalog,direct,36,4.99220593756354,511.35149213888883,501.5280389999999,624.4391029999999,4.536413407543349,133.2577230277778,128.101391,176.027171
0,digits_binary,linear_poly3,split_seed_0/digits_binary/linear_poly3,reference,direct,36,5.139256451862961,531.1210783888887,515.304286,656.5094369999999,4.594714796612434,135.0623441666667,132.76989700000001,176.316987
0,digits_binary,linear_poly3,split_seed_0/digits_binary/linear_poly3,reference,catalog,36,1.0294560192705482,19.769586250000014,14.518515999999977,162.59620500000005,1.012851868608831,1.8046211388888866,0.07817700000001082,41.498346999999995
0,digits_binary,mlp_square_linear_score,split_seed_0/digits_binary/mlp_square_linear_score,catalog,direct,36,2.049480134606135,171.88670672222224,160.53305799999998,267.855594,1.8020389312938008,68.82912883333333,67.46878,145.722394
0,digits_binary,mlp_square_linear_score,split_seed_0/digits_binary/mlp_square_linear_score,reference,direct,36,5.817184354501643,785.3378719999997,769.151502,943.7528440000001,5.597313463122998,391.8784956388888,377.711484,503.43280799999997
0,digits_binary,mlp_square_linear_score,split_seed_0/digits_binary/mlp_square_linear_score,reference,catalog,36,2.8383706952200236,613.4511652777777,603.55717,790.726795,3.1061001879156565,323.0493668055556,318.17432800000006,445.83308
0,iris_binary,linear_poly3,split_seed_0/iris_binary/linear_poly3,catalog,direct,36,5.171208427615701,368.80300272222223,363.635242,429.37787899999995,4.715799261613747,129.4411406111111,124.29145199999999,176.831655
0,iris_binary,linear_poly3,split_seed_0/iris_binary/linear_poly3,reference,direct,36,5.325731204460575,386.89346524999996,360.302227,545.018489,4.820063656984503,135.87291997222223,126.554472,261.483099
0,iris_binary,linear_poly3,split_seed_0/iris_binary/linear_poly3,reference,catalog,36,1.029881366997254,18.090462527777774,0.2607879999999909,220.16616199999999,1.022109591521306,6.431779361111116,5.509492999999992,123.01181500000001
0,iris_binary,mlp_square_linear_score,split_seed_0/iris_binary/mlp_square_linear_score,catalog,direct,36,1.9221940156907582,126.46375233333333,119.81208999999998,230.30749500000002,1.4908678942181792,41.280628583333346,40.45330200000001,101.64984099999998
0,iris_binary,mlp_square_linear_score,split_seed_0/iris_binary/mlp_square_linear_score,reference,direct,36,5.642181498837832,635.0602720277777,614.0850419999999,978.602721,5.424007953667491,377.0425555277777,350.218825,659.5113220000001
0,iris_binary,mlp_square_linear_score,split_seed_0/iris_binary/mlp_square_linear_score,reference,catalog,36,2.935282002118949,508.5965196944444,495.048723,748.295226,3.6381546444877166,335.7619269444445,312.66055100000005,557.861481
0,mnist_pool16,linear_poly3,split_seed_0/mnist_pool16/linear_poly3,catalog,direct,36,5.067716275098078,801.291190861111,801.930826,924.812622,4.361726339552782,137.96050319444447,134.529274,167.90198299999997
0,mnist_pool16,linear_poly3,split_seed_0/mnist_pool16/linear_poly3,reference,direct,36,5.16278480029884,824.3306069444444,808.342899,1119.52392,4.593370545091847,147.91794111111113,145.583104,191.50530200000003
0,mnist_pool16,linear_poly3,split_seed_0/mnist_pool16/linear_poly3,reference,catalog,36,1.0187596384722466,23.039416083333336,-8.401701999999887,368.52002500000003,1.0531083767082041,9.95743791666667,3.0784170000000017,69.580779
0,mnist_pool16,mlp_square_linear_score,split_seed_0/mnist_pool16/mlp_square_linear_score,catalog,direct,36,1.9569845909592363,233.83692913888888,217.30655099999998,354.9983440000001,1.6047028488956165,60.47070241666667,54.377509,122.05371599999998
0,mnist_pool16,mlp_square_linear_score,split_seed_0/mnist_pool16/mlp_square_linear_score,reference,direct,36,5.71287983258638,1135.5972325277778,1117.485278,1313.783629,5.56599281398728,448.01485547222205,438.010443,561.919565
0,mnist_pool16,mlp_square_linear_score,split_seed_0/mnist_pool16/mlp_square_linear_score,reference,catalog,36,2.9192257613976182,901.760303388889,888.543686,1054.287879,3.468550465787414,387.54415305555546,386.21195100000006,479.898106
0,wdbc,linear_poly3,split_seed_0/wdbc/linear_poly3,catalog,direct,36,4.967161612065418,489.4043833055554,469.09332400000005,589.1338579999999,4.433804330129229,126.07055147222223,119.536662,176.51948799999997
0,wdbc,linear_poly3,split_seed_0/wdbc/linear_poly3,reference,direct,36,4.906447368906637,481.9702489166667,469.377247,625.330155,4.323784076638442,119.86786033333334,120.884561,159.712463
0,wdbc,linear_poly3,split_seed_0/wdbc/linear_poly3,reference,catalog,36,0.9877768738163651,-7.434134388888875,-6.413369999999986,169.123559,0.9751860377005901,-6.2026911388888895,5.928611000000018,39.63506100000001
0,wdbc,mlp_square_linear_score,split_seed_0/wdbc/mlp_square_linear_score,catalog,direct,36,1.974204149322098,147.5430659444444,143.47310799999997,216.830337,1.5153111185800006,39.181937999999995,38.04405399999999,70.35011099999998
0,wdbc,mlp_square_linear_score,split_seed_0/wdbc/mlp_square_linear_score,reference,direct,36,5.79840570947843,732.9285280555556,713.1146659999999,992.871969,5.671650036017616,362.10259811111126,356.516615,446.94981299999995
0,wdbc,mlp_square_linear_score,split_seed_0/wdbc/mlp_square_linear_score,reference,catalog,36,2.937085159845037,585.3854621111113,574.345722,812.6688180000001,3.7428947537404227,322.92066011111115,320.58867399999997,438.7945600000001
1,banknote,linear_poly3,split_seed_1/banknote/linear_poly3,catalog,direct,36,5.374838430515303,347.1959311111112,337.43882199999996,467.933483,4.80513875202313,123.11968533333336,112.603792,212.4864
1,banknote,linear_poly3,split_seed_1/banknote/linear_poly3,reference,direct,36,5.297083034914403,340.3183093055556,326.894201,421.045191,4.763872234981636,119.78023938888886,110.955352,197.75329299999999
1,banknote,linear_poly3,split_seed_1/banknote/linear_poly3,reference,catalog,36,0.985533445031678,-6.877621805555563,1.6060939999999846,119.213435,0.9914120030302721,-3.339445944444447,-3.315275000000014,104.05170299999997
1,banknote,mlp_square_linear_score,split_seed_1/banknote/mlp_square_linear_score,catalog,direct,36,1.915707978584788,111.02106397222222,111.58353799999999,177.286724,1.4619637375492154,34.06269977777778,35.86486500000001,68.53885200000002
1,banknote,mlp_square_linear_score,split_seed_1/banknote/mlp_square_linear_score,reference,direct,36,5.701181885041847,568.0921217222225,543.009699,876.127827,5.450649838805081,327.25068972222215,312.76050899999996,453.19675799999993
