keyset,pass,plaintext_score,threshold,margin,margin_floor,rho,acceptance_budget,absolute_error,normalized_usage,decision_flip,frozen_scope
1,1,0.5000146354532659,0.5,1.4635453265854359e-05,0.001,0.5,7.3177266329271795e-06,5.3528817827830366e-05,7.314951830390826,False,V_amb
1,2,0.5000146354532659,0.5,1.4635453265854359e-05,0.001,0.5,7.3177266329271795e-06,8.856267075646462e-05,12.102484172880134,True,V_amb
1,3,0.5000146354532659,0.5,1.4635453265854359e-05,0.001,0.5,7.3177266329271795e-06,0.00015329866628688293,20.948946848751252,False,V_amb
1,4,0.5000146354532659,0.5,1.4635453265854359e-05,0.001,0.5,7.3177266329271795e-06,1.2702827001165318e-05,1.7358979965180843,False,V_amb
1,5,0.5000146354532659,0.5,1.4635453265854359e-05,0.001,0.5,7.3177266329271795e-06,7.897256057887159e-05,10.791952820910666,False,V_amb
1,6,0.5000146354532659,0.5,1.4635453265854359e-05,0.001,0.5,7.3177266329271795e-06,3.518972029104006e-05,4.808832313125606,True,V_amb
2,1,0.5000146354532659,0.5,1.4635453265854359e-05,0.001,0.5,7.3177266329271795e-06,1.4720294383430144e-07,0.020115939173231793,False,V_amb
2,2,0.5000146354532659,0.5,1.4635453265854359e-05,0.001,0.5,7.3177266329271795e-06,4.33318350269718e-05,5.921488626261861,True,V_amb
2,3,0.5000146354532659,0.5,1.4635453265854359e-05,0.001,0.5,7.3177266329271795e-06,2.4076858341270935e-05,3.2902101361553457,False,V_amb
2,4,0.5000146354532659,0.5,1.4635453265854359e-05,0.001,0.5,7.3177266329271795e-06,3.162696834890788e-05,4.321966361328355,False,V_amb
2,5,0.5000146354532659,0.5,1.4635453265854359e-05,0.001,0.5,7.3177266329271795e-06,3.136284603888484e-05,4.2858728690086805,True,V_amb
2,6,0.5000146354532659,0.5,1.4635453265854359e-05,0.001,0.5,7.3177266329271795e-06,3.847566210801734e-05,5.2578709260455945,False,V_amb
3,1,0.5000146354532659,0.5,1.4635453265854359e-05,0.001,0.5,7.3177266329271795e-06,9.719901512850182e-05,13.282679171307201,False,V_amb
3,2,0.5000146354532659,0.5,1.4635453265854359e-05,0.001,0.5,7.3177266329271795e-06,3.338644776745836e-05,4.562407075611593,True,V_amb
3,3,0.5000146354532659,0.5,1.4635453265854359e-05,0.001,0.5,7.3177266329271795e-06,1.9364725895421042e-05,2.6462762093744567,True,V_amb
3,4,0.5000146354532659,0.5,1.4635453265854359e-05,0.001,0.5,7.3177266329271795e-06,2.5254016875808638e-05,3.451074103010968,False,V_amb
3,5,0.5000146354532659,0.5,1.4635453265854359e-05,0.001,0.5,7.3177266329271795e-06,5.7465132510092776e-05,7.852866797663638,True,V_amb
3,6,0.5000146354532659,0.5,1.4635453265854359e-05,0.001,0.5,7.3177266329271795e-06,8.455350227576375e-05,11.554613408938087,True,V_amb
