split_seed,dataset_id,model_id,expected_outcome,outcome,trial_status,failure_signal,decision_flips,error_violations,max_observed_error,max_error_budget_usage,v_cert,v_amb,candidate_id,log_n,q_prime_count,log_default_scale,result_path,result_sha256
3,banknote,mlp_square_linear_score,SELECTED,SELECTED,SAFE,,0,0,0.0005428901199592273,0.0407850031901582,207,0,synth_analysis_minimum_rescale_N13_Q6_S20_6d7d0a338aab,13,6,20,results/thesis_grade_protocol/no_safe_budget_control_v1/confirm_seeds1_4/results/seed3_banknote_mlp_square_linear_score.json,sha256:9f27b8bda2dd98c277e3b1e91cdc177efdfb3a0447bd930bfec9484d86ba69f5
3,digits_binary,linear_poly3,NO_SAFE,NO_SAFE,REJECTED,NUMERICAL_REJECT,107,443,0.016271355453664815,26.743932457973056,264,6,synth_analysis_minimum_rescale_N13_Q7_S20_43bd39ffa8ec,13,7,20,results/thesis_grade_protocol/no_safe_budget_control_v1/confirm_seeds1_4/results/seed3_digits_binary_linear_poly3.json,sha256:d7e6ff896f85b5ccbd3bb00bba1358fc82d009b7b9b8a13b644dd01eb1f8051d
3,digits_binary,mlp_square_linear_score,SELECTED,SELECTED,SAFE,,0,0,8.692549266164917e-05,0.07767804694409536,251,19,synth_analysis_minimum_rescale_N13_Q6_S20_4d249345910f,13,6,20,results/thesis_grade_protocol/no_safe_budget_control_v1/confirm_seeds1_4/results/seed3_digits_binary_mlp_square_linear_score.json,sha256:6ba0ff52f3b4044698cb61d2b9df4c617ad9b656fccdb66c0fb5c94d4a25b3b9
3,iris_binary,linear_poly3,SELECTED,SELECTED,SAFE,,0,0,0.017049268380731286,0.5859060776350988,16,0,synth_analysis_minimum_rescale_N13_Q7_S20_1972bdd0da86,13,7,20,results/thesis_grade_protocol/no_safe_budget_control_v1/confirm_seeds1_4/results/seed3_iris_binary_linear_poly3.json,sha256:f03e62a841f52bca2c4a2cf2b97b4652daf278e38e6babb785b78d4c64b9e300
3,iris_binary,mlp_square_linear_score,SELECTED,SELECTED,SAFE,,0,0,0.0001597784212313269,0.004229728261905267,16,0,synth_analysis_minimum_rescale_N13_Q6_S20_16d80f3ed15c,13,6,20,results/thesis_grade_protocol/no_safe_budget_control_v1/confirm_seeds1_4/results/seed3_iris_binary_mlp_square_linear_score.json,sha256:438a85245505dc659956dd7b226238079edec67045c6ac83d173459143a26bbb
3,mnist_pool16,linear_poly3,NO_SAFE,NO_SAFE,REJECTED,NUMERICAL_REJECT,89,321,0.014656271897917406,21.35687976052732,244,7,synth_analysis_minimum_rescale_N13_Q7_S20_79eebba64d8c,13,7,20,results/thesis_grade_protocol/no_safe_budget_control_v1/confirm_seeds1_4/results/seed3_mnist_pool16_linear_poly3.json,sha256:fffede1cfc10b9344f71febbe1312aa0331538e467ddb8d3f202c451eb07580d
3,mnist_pool16,mlp_square_linear_score,SELECTED,SELECTED,SAFE,,0,0,0.0003019821276106227,0.18133989291712735,245,6,synth_analysis_minimum_rescale_N13_Q6_S20_a1a52ef378c9,13,6,20,results/thesis_grade_protocol/no_safe_budget_control_v1/confirm_seeds1_4/results/seed3_mnist_pool16_mlp_square_linear_score.json,sha256:05a81cd9eba41b104c1cc49ee01aab0ce31100b1645151655ff18163f07afde7
3,wdbc,linear_poly3,NO_SAFE,NO_SAFE,REJECTED,NUMERICAL_REJECT,10,45,0.015232995237872582,16.270920220081702,85,1,synth_analysis_minimum_rescale_N13_Q7_S20_a2603ae61323,13,7,20,results/thesis_grade_protocol/no_safe_budget_control_v1/confirm_seeds1_4/results/seed3_wdbc_linear_poly3.json,sha256:6f62a79a408ba33af5675cdcd5fd1b61698554ca8020b9b4ab5f126d131809bf
3,wdbc,mlp_square_linear_score,SELECTED,SELECTED,SAFE,,0,0,0.0002990844791599945,0.17231307212976174,84,2,synth_analysis_minimum_rescale_N13_Q6_S20_9832b503e57d,13,6,20,results/thesis_grade_protocol/no_safe_budget_control_v1/confirm_seeds1_4/results/seed3_wdbc_mlp_square_linear_score.json,sha256:bff68f9620a6a8f149050c29c3278351e7d91d5cd23334093378fb1b86ecb6fc
4,banknote,linear_poly3,NO_SAFE,NO_SAFE,REJECTED,NUMERICAL_REJECT,13,39,0.01667478505553127,6.58353037967381,207,0,synth_analysis_minimum_rescale_N13_Q7_S20_09b8aca2299c,13,7,20,results/thesis_grade_protocol/no_safe_budget_control_v1/confirm_seeds1_4/results/seed4_banknote_linear_poly3.json,sha256:95a3dfd38f32c5b06335376e2b6b829170c3f6ea4c004db6f6b056a14af08bcb
4,banknote,mlp_square_linear_score,SELECTED,SELECTED,SAFE,,0,0,0.0003698471396962333,0.03776865879257054,207,0,synth_analysis_minimum_rescale_N13_Q6_S20_6ccc06b70d79,13,6,20,results/thesis_grade_protocol/no_safe_budget_control_v1/confirm_seeds1_4/results/seed4_banknote_mlp_square_linear_score.json,sha256:2ddefe86251ceede2ec566c1b8b96eec30080ac82b87008ac126acf46fa542ad
4,digits_binary,linear_poly3,NO_SAFE,NO_SAFE,REJECTED,NUMERICAL_REJECT,113,469,0.019212058185110736,26.75475024188889,266,4,synth_analysis_minimum_rescale_N13_Q7_S20_35ce15bb26c9,13,7,20,results/thesis_grade_protocol/no_safe_budget_control_v1/confirm_seeds1_4/results/seed4_digits_binary_linear_poly3.json,sha256:7a007f6aed864b84688b9d6e75275a4ec2fa97919fd30b3aecc06d9e3d20e4a3
4,digits_binary,mlp_square_linear_score,SELECTED,SELECTED,SAFE,,0,0,7.815624372287111e-05,0.042763799854524914,257,13,synth_analysis_minimum_rescale_N13_Q6_S20_b352853170f8,13,6,20,results/thesis_grade_protocol/no_safe_budget_control_v1/confirm_seeds1_4/results/seed4_digits_binary_mlp_square_linear_score.json,sha256:9c44d300f17e786290ab547f5c6915907399ebec1c416237b3a7cddf4c56d192
4,iris_binary,linear_poly3,SELECTED,SELECTED,SAFE,,0,0,0.01577011604062084,0.4797543394260476,16,0,synth_analysis_minimum_rescale_N13_Q7_S20_5866f907c547,13,7,20,results/thesis_grade_protocol/no_safe_budget_control_v1/confirm_seeds1_4/results/seed4_iris_binary_linear_poly3.json,sha256:3908c41b17ae41036fca1b8a0cc0d601f7f25b95a16f544a41121206864157b8
4,iris_binary,mlp_square_linear_score,SELECTED,SELECTED,SAFE,,0,0,0.0002000686037608168,0.004720404467442095,16,0,synth_analysis_minimum_rescale_N13_Q6_S20_bbfde2c9abfc,13,6,20,results/thesis_grade_protocol/no_safe_budget_control_v1/confirm_seeds1_4/results/seed4_iris_binary_mlp_square_linear_score.json,sha256:75d3967f20d42e3e032903e5d7bd7327a349ce61f53b9e93f22dd5ffdf6acd52
4,mnist_pool16,linear_poly3,NO_SAFE,NO_SAFE,REJECTED,NUMERICAL_REJECT,94,329,0.017457477607746963,23.776244242585292,245,6,synth_analysis_minimum_rescale_N13_Q7_S20_b86851693b18,13,7,20,results/thesis_grade_protocol/no_safe_budget_control_v1/confirm_seeds1_4/results/seed4_mnist_pool16_linear_poly3.json,sha256:5729ffc53948d7719f2ee6bd29006ebaf625314a2c04a8c9f2a6a8806eabbaa1
4,mnist_pool16,mlp_square_linear_score,SELECTED,SELECTED,SAFE,,0,0,0.00011069775492822398,0.057994544380892896,246,5,synth_analysis_minimum_rescale_N13_Q6_S20_62c413d847ea,13,6,20,results/thesis_grade_protocol/no_safe_budget_control_v1/confirm_seeds1_4/results/seed4_mnist_pool16_mlp_square_linear_score.json,sha256:9deb2256daa8e83d982b9f2b497a41507b2c6a7c1d44c4b0fac90163b4a25539
4,wdbc,linear_poly3,NO_SAFE,NO_SAFE,REJECTED,NUMERICAL_REJECT,16,68,0.01712615625675007,18.263284006898566,86,0,synth_analysis_minimum_rescale_N13_Q7_S20_b001a0208025,13,7,20,results/thesis_grade_protocol/no_safe_budget_control_v1/confirm_seeds1_4/results/seed4_wdbc_linear_poly3.json,sha256:e8b5a9e56096af92fb6a1aedd042189e2ade0fdc4059f0fbbc84297b4910d6ff
4,wdbc,mlp_square_linear_score,SELECTED,SELECTED,SAFE,,0,0,0.0002855601753334047,0.12934597590273583,82,4,synth_analysis_minimum_rescale_N13_Q6_S20_b86aa7ee7b21,13,6,20,results/thesis_grade_protocol/no_safe_budget_control_v1/confirm_seeds1_4/results/seed4_wdbc_mlp_square_linear_score.json,sha256:094f13495169294368b0d78a0cf3a88f1353eccddf4ff79fb8fc4b86140d8146
