keyset,pass,row_id,order_index,order_position,arm,candidate_id,plaintext,decrypted,absolute_error,decision_flip,reserve_violation,encrypt_ms,evaluate_ms,decrypt_ms,total_ms,runtime,workload,portability,security_state,latency_state
1,1,525,6,1,flipguard_direct,provider_direct_synthesizer_ab7d6d8fcdf10d4e,0.7218495482136112,0.7120624511670227,0.009787097046588533,False,False,23.139941,35.4717,11.048672,69.6641,Lattigo v6.2.0,shared_polynomial_threshold_v8,NATIVE_FLIPGUARD_ARM,PASS,PAIRED_DIAGNOSTIC_UNSAFE_ARM
1,1,525,6,2,heir_generated,heir_generated_lattigo_v8,0.7218495482136112,0.7218495011329651,4.708064615943641e-08,False,False,29.033038,21.426224,0.50606,50.966435,Lattigo v6.2.0,shared_polynomial_threshold_v8,PORTABLE_EXACT,PASS,PAIRED_DIAGNOSTIC_UNSAFE_ARM
1,1,525,6,3,bounded_catalog,provider_bounded_catalog_3aaf661a70fb4fde,0.7218495482136112,0.7218495482679945,5.438327566054113e-11,False,False,101.75777,125.707021,80.117305,307.586223,Lattigo v6.2.0,shared_polynomial_threshold_v8,NATIVE_FLIPGUARD_ARM,PASS,PAIRED_DIAGNOSTIC_UNSAFE_ARM
1,1,530,1,1,heir_generated,heir_generated_lattigo_v8,0.3407707426647936,0.3407707214355469,2.122924674941018e-08,False,False,30.208022,25.117121,0.427271,55.753507,Lattigo v6.2.0,shared_polynomial_threshold_v8,PORTABLE_EXACT,PASS,PAIRED_DIAGNOSTIC_UNSAFE_ARM
1,1,530,1,2,flipguard_direct,provider_direct_synthesizer_ab7d6d8fcdf10d4e,0.3407707426647936,0.34786043717092185,0.00708969450612823,False,False,20.612217,24.964123,12.32148,57.900916,Lattigo v6.2.0,shared_polynomial_threshold_v8,NATIVE_FLIPGUARD_ARM,PASS,PAIRED_DIAGNOSTIC_UNSAFE_ARM
1,1,530,1,3,bounded_catalog,provider_bounded_catalog_3aaf661a70fb4fde,0.3407707426647936,0.34077074267341445,8.62082627506311e-12,False,False,116.623446,113.524169,75.470054,305.622288,Lattigo v6.2.0,shared_polynomial_threshold_v8,NATIVE_FLIPGUARD_ARM,PASS,PAIRED_DIAGNOSTIC_UNSAFE_ARM
1,1,535,2,1,flipguard_direct,provider_direct_synthesizer_ab7d6d8fcdf10d4e,0.4733460983485944,0.4744965299364876,0.001150431587893186,False,False,19.810563,25.5273,14.907593,60.248833,Lattigo v6.2.0,shared_polynomial_threshold_v8,NATIVE_FLIPGUARD_ARM,PASS,PAIRED_DIAGNOSTIC_UNSAFE_ARM
1,1,535,2,2,bounded_catalog,provider_bounded_catalog_3aaf661a70fb4fde,0.4733460983485944,0.4733460983961851,4.7590653640128266e-11,False,False,100.13719,105.121743,75.274587,280.538299,Lattigo v6.2.0,shared_polynomial_threshold_v8,NATIVE_FLIPGUARD_ARM,PASS,PAIRED_DIAGNOSTIC_UNSAFE_ARM
1,1,535,2,3,heir_generated,heir_generated_lattigo_v8,0.4733460983485944,0.473346084356308,1.3992286440611679e-08,False,False,24.2589,19.368002,0.450756,44.079101,Lattigo v6.2.0,shared_polynomial_threshold_v8,PORTABLE_EXACT,PASS,PAIRED_DIAGNOSTIC_UNSAFE_ARM
1,1,540,3,1,bounded_catalog,provider_bounded_catalog_3aaf661a70fb4fde,0.6013742180514746,0.6013742180970322,4.555755772628345e-11,False,False,96.653543,119.251166,79.429914,295.339062,Lattigo v6.2.0,shared_polynomial_threshold_v8,NATIVE_FLIPGUARD_ARM,PASS,PAIRED_DIAGNOSTIC_UNSAFE_ARM
1,1,540,3,2,heir_generated,heir_generated_lattigo_v8,0.6013742180514746,0.6013742089271545,9.124320077269488e-09,False,False,34.228067,26.176618,0.435667,60.841244,Lattigo v6.2.0,shared_polynomial_threshold_v8,PORTABLE_EXACT,PASS,PAIRED_DIAGNOSTIC_UNSAFE_ARM
1,1,540,3,3,flipguard_direct,provider_direct_synthesizer_ab7d6d8fcdf10d4e,0.6013742180514746,0.5969799122532189,0.0043943057982557265,False,False,19.864034,24.170052,11.577314,55.615499,Lattigo v6.2.0,shared_polynomial_threshold_v8,NATIVE_FLIPGUARD_ARM,PASS,PAIRED_DIAGNOSTIC_UNSAFE_ARM
1,1,545,4,1,bounded_catalog,provider_bounded_catalog_3aaf661a70fb4fde,0.3754405136907542,0.3754405136670579,2.3696322681843185e-11,False,False,100.981855,110.774451,73.262552,285.023897,Lattigo v6.2.0,shared_polynomial_threshold_v8,NATIVE_FLIPGUARD_ARM,PASS,PAIRED_DIAGNOSTIC_UNSAFE_ARM
1,1,545,4,2,flipguard_direct,provider_direct_synthesizer_ab7d6d8fcdf10d4e,0.3754405136907542,0.38093860411736613,0.0054980904266119235,False,False,19.544775,23.786914,10.838097,54.174264,Lattigo v6.2.0,shared_polynomial_threshold_v8,NATIVE_FLIPGUARD_ARM,PASS,PAIRED_DIAGNOSTIC_UNSAFE_ARM
1,1,545,4,3,heir_generated,heir_generated_lattigo_v8,0.3754405136907542,0.3754405081272125,5.563541682906958e-09,False,False,23.798465,21.904182,0.428885,46.132805,Lattigo v6.2.0,shared_polynomial_threshold_v8,PORTABLE_EXACT,PASS,PAIRED_DIAGNOSTIC_UNSAFE_ARM
1,1,550,5,1,heir_generated,heir_generated_lattigo_v8,0.43358843003226893,0.4335884153842926,1.4647976331882973e-08,False,False,26.031596,20.524413,0.43705,46.994291,Lattigo v6.2.0,shared_polynomial_threshold_v8,PORTABLE_EXACT,PASS,PAIRED_DIAGNOSTIC_UNSAFE_ARM
1,1,550,5,2,bounded_catalog,provider_bounded_catalog_3aaf661a70fb4fde,0.43358843003226893,0.4335884300267846,5.4843352081945795e-12,False,False,106.040407,116.251807,88.511866,310.80927,Lattigo v6.2.0,shared_polynomial_threshold_v8,NATIVE_FLIPGUARD_ARM,PASS,PAIRED_DIAGNOSTIC_UNSAFE_ARM
1,1,550,5,3,flipguard_direct,provider_direct_synthesizer_ab7d6d8fcdf10d4e,0.43358843003226893,0.4364220696399815,0.002833639607712546,False,False,22.679387,25.742766,13.379566,61.806236,Lattigo v6.2.0,shared_polynomial_threshold_v8,NATIVE_FLIPGUARD_ARM,PASS,PAIRED_DIAGNOSTIC_UNSAFE_ARM
