schema_version,provider_id,provider_commit,workload_id,model_digest,graph_digest,input_id,input_digest,split_role,context_or_key_id,pass_index,plaintext_output,decrypted_output,plaintext_decision,encrypted_decision,decision_margin_or_top_two_gap,numerical_error,decision_flip,provider_prediction,gate_status,security_status,raw_output_digest,provider,system,workload,arm,runtime,scheme,evidence_level,execution_status,actual_output_available,decision_output_available,contexts_keysets,unique_inputs,raw_output_rows,compile_time_ms,tuning_time_ms,keygen_time_ms,encryption_time_ms,evaluation_time_ms,decryption_time_ms,total_time_ms,rms_error,max_absolute_error,validation_flips,audit_flips,gate_state,security_state,portability_state,output_manifest
flipguard_provider_execution_record_v7,EVA,4cd3254c9c51340ae30c451495ce5378135758c0,eva_official_baboon_sobel_harris_v1,NOT_REPORTED,NOT_REPORTED,NOT_REPORTED,NOT_REPORTED,NOT_REPORTED,NOT_REPORTED,NOT_REPORTED,NOT_REPORTED,NOT_REPORTED,NOT_REPORTED,NOT_REPORTED,NOT_REPORTED,1.0122693565636922,NOT_EVALUATED,NOT_REPORTED,NOT_EVALUATED,SECURITY_NOT_EVALUATED,sha256:2ba93c680ef8e4cc4d222d92f8e0832144652e38ee76486d1feb70f526182870,EVA,EVA,eva_official_baboon_sobel_harris_v1,sobel,native_eva_seal,CKKS,3,PASS,True,False,3,1,12288,0.982594,NOT_APPLICABLE,247.51042866666668,10.189741666666666,137.605208,0.8325156666666667,396.1516563333333,0.01873284330470833,1.0122693565636922,NOT_EVALUATED,NOT_EVALUATED,NOT_EVALUATED,SECURITY_NOT_EVALUATED,NATIVE_ONLY,external/v7/outputs/eva/official-image-v1/manifest.json
flipguard_provider_execution_record_v7,EVA,4cd3254c9c51340ae30c451495ce5378135758c0,eva_official_baboon_sobel_harris_v1,NOT_REPORTED,NOT_REPORTED,NOT_REPORTED,NOT_REPORTED,NOT_REPORTED,NOT_REPORTED,NOT_REPORTED,NOT_REPORTED,NOT_REPORTED,NOT_REPORTED,NOT_REPORTED,NOT_REPORTED,0.004825155085011801,NOT_EVALUATED,NOT_REPORTED,NOT_EVALUATED,SECURITY_NOT_EVALUATED,sha256:2ba93c680ef8e4cc4d222d92f8e0832144652e38ee76486d1feb70f526182870,EVA,EVA,eva_official_baboon_sobel_harris_v1,harris,native_eva_seal,CKKS,3,PASS,True,False,3,1,12288,2.722077,NOT_APPLICABLE,213.17374166666664,9.828356,298.052982,0.8060360000000001,521.8749103333333,0.0004347880411557362,0.004825155085011801,NOT_EVALUATED,NOT_EVALUATED,NOT_EVALUATED,SECURITY_NOT_EVALUATED,NATIVE_ONLY,external/v7/outputs/eva/official-image-v1/manifest.json
flipguard_provider_execution_record_v7,EVA,4cd3254c9c51340ae30c451495ce5378135758c0,shared_polynomial_v1,NOT_REPORTED,NOT_REPORTED,NOT_REPORTED,NOT_REPORTED,NOT_REPORTED,NOT_REPORTED,NOT_REPORTED,NOT_REPORTED,NOT_REPORTED,NOT_REPORTED,NOT_REPORTED,NOT_REPORTED,2.8716273019732945,21,NOT_REPORTED,REJECTED,SECURITY_TARGET_MATCH_ASSUMPTIONS_DIFFER,sha256:7e683bf7e3c338b448b6a00c5b9eeb9b4105a97b51ed1c4942f2f995d7a2aad5,EVA,EVA,shared_polynomial_v1,eva_native_scale20_N14_QP240_403b0d9e5ee9,native_eva_seal,CKKS,5,PASS,True,True,3,14,42,NOT_SEPARATELY_RECORDED,NOT_APPLICABLE,35.601735,28.8178935,23.379286571428572,0.763147,53.031991166666664,NOT_REPORTED,2.8716273019732945,21,NOT_APPLICABLE,REJECTED,SECURITY_TARGET_MATCH_ASSUMPTIONS_DIFFER,NATIVE_ONLY,external/v7/outputs/eva/shared-polynomial-v1/manifest.json
flipguard_provider_execution_record_v7,EVA,4cd3254c9c51340ae30c451495ce5378135758c0,shared_polynomial_v1,NOT_REPORTED,NOT_REPORTED,NOT_REPORTED,NOT_REPORTED,NOT_REPORTED,NOT_REPORTED,NOT_REPORTED,NOT_REPORTED,NOT_REPORTED,NOT_REPORTED,NOT_REPORTED,NOT_REPORTED,0.0016700491510947546,0,NOT_REPORTED,SAFE_AUDIT_PASS,SECURITY_TARGET_MATCH_ASSUMPTIONS_DIFFER,sha256:7e683bf7e3c338b448b6a00c5b9eeb9b4105a97b51ed1c4942f2f995d7a2aad5,EVA,EVA,shared_polynomial_v1,eva_native_scale30_N14_QP240_ef28317b2a3d,native_eva_seal,CKKS,6,PASS,True,True,3,30,90,NOT_SEPARATELY_RECORDED,NOT_APPLICABLE,23.259336,29.307054595238096,23.33832645238095,0.8722867857142858,53.59891102380952,NOT_REPORTED,0.0016700491510947546,0,0,SAFE_AUDIT_PASS,SECURITY_TARGET_MATCH_ASSUMPTIONS_DIFFER,NATIVE_ONLY,external/v7/outputs/eva/shared-polynomial-v1/manifest.json
flipguard_provider_execution_record_v7,EVA,4cd3254c9c51340ae30c451495ce5378135758c0,shared_polynomial_v1,NOT_REPORTED,NOT_REPORTED,NOT_REPORTED,NOT_REPORTED,NOT_REPORTED,NOT_REPORTED,NOT_REPORTED,NOT_REPORTED,NOT_REPORTED,NOT_REPORTED,NOT_REPORTED,NOT_REPORTED,3.999614639482729e-09,0,NOT_REPORTED,SAFE,SECURITY_TARGET_MATCH_ASSUMPTIONS_DIFFER,sha256:7e683bf7e3c338b448b6a00c5b9eeb9b4105a97b51ed1c4942f2f995d7a2aad5,EVA,EVA,shared_polynomial_v1,eva_native_scale40_N14_QP320_eeed1dcd1ccb,native_eva_seal,CKKS,5,PASS,True,True,3,14,42,NOT_SEPARATELY_RECORDED,NOT_APPLICABLE,61.859905999999995,40.542125142857145,41.89313792857143,1.607464761904762,84.12021133333333,NOT_REPORTED,3.999614639482729e-09,0,NOT_APPLICABLE,SAFE,SECURITY_TARGET_MATCH_ASSUMPTIONS_DIFFER,NATIVE_ONLY,external/v7/outputs/eva/shared-polynomial-v1/manifest.json
flipguard_provider_execution_record_v7,CoreLab,3c37c11b29ca480525bb6681e0254bdf90029425,official_LinearRegression,NOT_REPORTED,NOT_REPORTED,NOT_REPORTED,NOT_REPORTED,NOT_REPORTED,NOT_REPORTED,NOT_REPORTED,NOT_REPORTED,NOT_REPORTED,NOT_REPORTED,NOT_REPORTED,NOT_REPORTED,NOT_REPORTED,NOT_EVALUATED,NOT_REPORTED,NOT_EVALUATED,SECURITY_NOT_REPORTED,sha256:8e412acddc176627a9d1d30e5fdcd5da7ed5012d19c1a00d2aaf0619a1b96e2c,CoreLab,ELASM,official_LinearRegression,eva_waterline_15,SEAL_HEVM,CKKS,3,PASS,true,False,1,NOT_REPORTED,1,43.265594,NOT_SEPARATELY_RECORDED,NOT_SEPARATELY_RECORDED,NOT_SEPARATELY_RECORDED,640.202653,NOT_SEPARATELY_RECORDED,15971.023239,0.7693506868927265,NOT_REPORTED,NOT_EVALUATED,NOT_EVALUATED,NOT_EVALUATED,SECURITY_NOT_REPORTED,NATIVE_ONLY,external/v7/outputs/corelab/elasm-linear-regression-grid-v1/manifest.json
flipguard_provider_execution_record_v7,CoreLab,3c37c11b29ca480525bb6681e0254bdf90029425,official_LinearRegression,NOT_REPORTED,NOT_REPORTED,NOT_REPORTED,NOT_REPORTED,NOT_REPORTED,NOT_REPORTED,NOT_REPORTED,NOT_REPORTED,NOT_REPORTED,NOT_REPORTED,NOT_REPORTED,NOT_REPORTED,NOT_REPORTED,NOT_EVALUATED,NOT_REPORTED,NOT_EVALUATED,SECURITY_NOT_REPORTED,sha256:8e412acddc176627a9d1d30e5fdcd5da7ed5012d19c1a00d2aaf0619a1b96e2c,CoreLab,ELASM,official_LinearRegression,eva_waterline_16,SEAL_HEVM,CKKS,3,PASS,true,False,1,NOT_REPORTED,1,60.598129,NOT_SEPARATELY_RECORDED,NOT_SEPARATELY_RECORDED,NOT_SEPARATELY_RECORDED,646.995368,NOT_SEPARATELY_RECORDED,14870.449604,0.029143887817593046,NOT_REPORTED,NOT_EVALUATED,NOT_EVALUATED,NOT_EVALUATED,SECURITY_NOT_REPORTED,NATIVE_ONLY,external/v7/outputs/corelab/elasm-linear-regression-grid-v1/manifest.json
flipguard_provider_execution_record_v7,CoreLab,3c37c11b29ca480525bb6681e0254bdf90029425,official_LinearRegression,NOT_REPORTED,NOT_REPORTED,NOT_REPORTED,NOT_REPORTED,NOT_REPORTED,NOT_REPORTED,NOT_REPORTED,NOT_REPORTED,NOT_REPORTED,NOT_REPORTED,NOT_REPORTED,NOT_REPORTED,NOT_REPORTED,NOT_EVALUATED,NOT_REPORTED,NOT_EVALUATED,SECURITY_NOT_REPORTED,sha256:8e412acddc176627a9d1d30e5fdcd5da7ed5012d19c1a00d2aaf0619a1b96e2c,CoreLab,ELASM,official_LinearRegression,eva_waterline_17,SEAL_HEVM,CKKS,3,PASS,true,False,1,NOT_REPORTED,1,21.219061,NOT_SEPARATELY_RECORDED,NOT_SEPARATELY_RECORDED,NOT_SEPARATELY_RECORDED,681.091884,NOT_SEPARATELY_RECORDED,14875.945936999999,0.0010310392937862723,NOT_REPORTED,NOT_EVALUATED,NOT_EVALUATED,NOT_EVALUATED,SECURITY_NOT_REPORTED,NATIVE_ONLY,external/v7/outputs/corelab/elasm-linear-regression-grid-v1/manifest.json
flipguard_provider_execution_record_v7,CoreLab,3c37c11b29ca480525bb6681e0254bdf90029425,official_LinearRegression,NOT_REPORTED,NOT_REPORTED,NOT_REPORTED,NOT_REPORTED,NOT_REPORTED,NOT_REPORTED,NOT_REPORTED,NOT_REPORTED,NOT_REPORTED,NOT_REPORTED,NOT_REPORTED,NOT_REPORTED,NOT_REPORTED,NOT_EVALUATED,NOT_REPORTED,NOT_EVALUATED,SECURITY_NOT_REPORTED,sha256:8e412acddc176627a9d1d30e5fdcd5da7ed5012d19c1a00d2aaf0619a1b96e2c,CoreLab,ELASM,official_LinearRegression,eva_waterline_18,SEAL_HEVM,CKKS,3,PASS,true,False,1,NOT_REPORTED,1,19.860481999999998,NOT_SEPARATELY_RECORDED,NOT_SEPARATELY_RECORDED,NOT_SEPARATELY_RECORDED,796.943346,NOT_SEPARATELY_RECORDED,14395.458394000001,3.535474026056141e-05,NOT_REPORTED,NOT_EVALUATED,NOT_EVALUATED,NOT_EVALUATED,SECURITY_NOT_REPORTED,NATIVE_ONLY,external/v7/outputs/corelab/elasm-linear-regression-grid-v1/manifest.json
flipguard_provider_execution_record_v7,CoreLab,3c37c11b29ca480525bb6681e0254bdf90029425,official_LinearRegression,NOT_REPORTED,NOT_REPORTED,NOT_REPORTED,NOT_REPORTED,NOT_REPORTED,NOT_REPORTED,NOT_REPORTED,NOT_REPORTED,NOT_REPORTED,NOT_REPORTED,NOT_REPORTED,NOT_REPORTED,NOT_REPORTED,NOT_EVALUATED,NOT_REPORTED,NOT_EVALUATED,SECURITY_NOT_REPORTED,sha256:8e412acddc176627a9d1d30e5fdcd5da7ed5012d19c1a00d2aaf0619a1b96e2c,CoreLab,ELASM,official_LinearRegression,eva_waterline_19,SEAL_HEVM,CKKS,3,PASS,true,False,1,NOT_REPORTED,1,24.656485999999997,NOT_SEPARATELY_RECORDED,NOT_SEPARATELY_RECORDED,NOT_SEPARATELY_RECORDED,686.440384,NOT_SEPARATELY_RECORDED,15072.379356000001,1.3395360369319338e-05,NOT_REPORTED,NOT_EVALUATED,NOT_EVALUATED,NOT_EVALUATED,SECURITY_NOT_REPORTED,NATIVE_ONLY,external/v7/outputs/corelab/elasm-linear-regression-grid-v1/manifest.json
