split_seed,dataset_id,model_id,workload_id,numerator_arm_id,denominator_arm_id,pairs,geometric_mean_total_ratio,mean_paired_total_difference_ms,median_paired_total_difference_ms,p95_paired_total_difference_ms,geometric_mean_eval_only_ratio,mean_paired_eval_only_difference_ms,median_paired_eval_only_difference_ms,p95_paired_eval_only_difference_ms
0,banknote,linear_poly3,split_seed_0/banknote/linear_poly3,catalog,direct,12,1.942151524235555,68.4681015,65.874668,87.02186400000001,1.7031627264735565,20.007272583333336,18.857438999999996,27.491962
0,banknote,linear_poly3,split_seed_0/banknote/linear_poly3,reference,direct,12,1.9895173699446276,72.57111950000001,67.60704399999999,104.68042700000001,1.8840192067874724,25.777783333333332,22.045417000000004,46.858771
0,banknote,linear_poly3,split_seed_0/banknote/linear_poly3,reference,catalog,12,1.0243883369129585,4.103017999999999,0.2597330000000113,33.73587600000002,1.1061886086999941,5.77051075,0.6210790000000017,28.06496299999999
0,banknote,mlp_square_linear_score,split_seed_0/banknote/mlp_square_linear_score,catalog,direct,12,1.8683513510508247,100.08721924999999,97.04984300000001,132.49662299999997,1.3815649298838864,27.858580416666666,24.938896999999997,51.345679000000004
0,banknote,mlp_square_linear_score,split_seed_0/banknote/mlp_square_linear_score,reference,direct,12,2.2618100606960443,144.43556108333334,128.587382,175.811164,2.024755907449066,73.40614700000002,73.64559700000002,94.135459
0,banknote,mlp_square_linear_score,split_seed_0/banknote/mlp_square_linear_score,reference,catalog,12,1.2105913908665655,44.34834183333333,42.684203,88.69431699999998,1.4655524786802718,45.54756658333335,46.21698900000004,77.177073
0,digits_binary,linear_poly3,split_seed_0/digits_binary/linear_poly3,catalog,direct,12,2.1132572535624803,117.71909674999996,109.38038700000001,186.96826699999997,1.9129085849520897,29.725583999999998,22.745770000000004,60.492157
0,digits_binary,linear_poly3,split_seed_0/digits_binary/linear_poly3,reference,direct,12,2.097863692751836,115.76346649999999,104.11863399999999,149.42019399999998,1.7741364626070852,24.353387666666663,22.178029999999996,48.08319500000001
0,digits_binary,linear_poly3,split_seed_0/digits_binary/linear_poly3,reference,catalog,12,0.9927157184556239,-1.9556302499999987,-4.1052740000000085,41.26341400000001,0.9274549116269036,-5.372196333333332,0.126107999999995,8.787861000000007
0,digits_binary,mlp_square_linear_score,split_seed_0/digits_binary/mlp_square_linear_score,catalog,direct,12,2.150323669158005,164.23785725000002,161.55119000000002,197.19783399999997,1.7509048583250852,55.771482916666656,53.87244799999999,70.08072099999998
0,digits_binary,mlp_square_linear_score,split_seed_0/digits_binary/mlp_square_linear_score,reference,direct,12,2.3537485940592036,192.93091783333333,187.25225099999997,260.23381700000004,2.201712344857943,89.35732216666668,85.85319100000002,120.09391100000002
0,digits_binary,mlp_square_linear_score,split_seed_0/digits_binary/mlp_square_linear_score,reference,catalog,12,1.094602002395692,28.693060583333335,24.389178000000015,79.82135099999999,1.2574711494970092,33.58583925,25.114864999999995,76.01667900000001
0,iris_binary,linear_poly3,split_seed_0/iris_binary/linear_poly3,catalog,direct,12,1.9578746704549765,73.182513,72.075314,105.66620800000001,1.6059308389890503,18.32537816666667,17.303591999999995,27.953456999999997
0,iris_binary,linear_poly3,split_seed_0/iris_binary/linear_poly3,reference,direct,12,1.8951907288863226,67.9927265,68.295535,85.796805,1.6081933676667886,18.52584775,17.121265999999995,32.945707999999996
0,iris_binary,linear_poly3,split_seed_0/iris_binary/linear_poly3,reference,catalog,12,0.9679836802045725,-5.1897865,-10.902665000000013,23.694491,1.0014088581044764,0.20046958333333423,-1.0562710000000024,15.238609000000011
0,iris_binary,mlp_square_linear_score,split_seed_0/iris_binary/mlp_square_linear_score,catalog,direct,12,1.8530944152173958,93.82708825000002,85.90164000000001,123.25698399999999,1.3688501817392498,25.20256641666667,21.176389999999984,46.957426999999996
0,iris_binary,mlp_square_linear_score,split_seed_0/iris_binary/mlp_square_linear_score,reference,direct,12,2.3269277477184347,146.61339258333334,135.986844,195.702419,2.1967823833183417,82.05387641666667,73.91494099999998,112.059465
0,iris_binary,mlp_square_linear_score,split_seed_0/iris_binary/mlp_square_linear_score,reference,catalog,12,1.2556984299396594,52.786304333333334,50.687702,91.721428,1.604837704391527,56.851310000000005,61.57336699999999,79.34860299999998
0,mnist_pool16,linear_poly3,split_seed_0/mnist_pool16/linear_poly3,catalog,direct,12,1.97347747383789,185.64168600000002,188.343214,246.80587400000002,1.7454827788723017,25.470591083333332,24.060836000000002,37.248822
0,mnist_pool16,linear_poly3,split_seed_0/mnist_pool16/linear_poly3,reference,direct,12,1.9726126751734956,192.83043016666667,158.016715,544.855924,1.7860946710365682,27.192893416666667,26.676150000000003,56.364111
0,mnist_pool16,linear_poly3,split_seed_0/mnist_pool16/linear_poly3,reference,catalog,12,0.9995617894423122,7.188744166666656,-46.85405400000002,356.51270999999997,1.0232668535352176,1.7223023333333334,-0.43490500000000765,25.549917999999998
0,mnist_pool16,mlp_square_linear_score,split_seed_0/mnist_pool16/mlp_square_linear_score,catalog,direct,12,1.8923300969906267,197.44179816666664,202.95134299999998,279.12312799999995,1.5974434521544187,50.53827866666666,54.165610000000015,69.07828100000002
0,mnist_pool16,mlp_square_linear_score,split_seed_0/mnist_pool16/mlp_square_linear_score,reference,direct,12,2.2298296771722486,273.0489303333333,256.64826100000005,349.3008930000001,2.190607623372157,101.1639695,100.526437,125.99118999999999
0,mnist_pool16,mlp_square_linear_score,split_seed_0/mnist_pool16/mlp_square_linear_score,reference,catalog,12,1.17835132502429,75.60713216666667,59.60171500000001,141.83079000000004,1.37132091932128,50.62569083333333,48.543810000000036,82.265226
0,wdbc,linear_poly3,split_seed_0/wdbc/linear_poly3,catalog,direct,12,2.0058103690760385,132.98566408333335,114.44612799999999,319.363826,1.8447172153984517,29.204313083333332,24.471759,95.017644
0,wdbc,linear_poly3,split_seed_0/wdbc/linear_poly3,reference,direct,12,1.9877144097178086,125.654422,117.221659,185.80773400000004,1.803334339447601,26.896156833333333,24.463901,38.342811
0,wdbc,linear_poly3,split_seed_0/wdbc/linear_poly3,reference,catalog,12,0.9909782302269354,-7.3312420833333265,3.6586360000000013,118.95920800000002,0.9775668185858434,-2.3081562499999975,2.241502000000004,37.71046900000002
0,wdbc,mlp_square_linear_score,split_seed_0/wdbc/mlp_square_linear_score,catalog,direct,12,2.034323718770447,150.83522358333335,146.304907,190.126009,1.5556106522994986,42.32500475,33.980684999999994,74.34383600000001
0,wdbc,mlp_square_linear_score,split_seed_0/wdbc/mlp_square_linear_score,reference,direct,12,2.277466723647379,186.42563375,186.17223800000002,229.69882199999998,2.051696887246534,79.87205233333334,79.794536,94.94707600000001
