split_seed,dataset_id,model_id,workload_id,id,role,candidate_id,profile_name,evaluation_mode,log_n,log_q,log_p,log_default_scale,setup_ms,arm_id,observations,decision_flips,max_y_error,mean_total_ms,median_total_ms,p95_total_ms,stddev_total_ms,iqr_total_ms,mean_eval_only_ms,median_eval_only_ms,p95_eval_only_ms,stddev_eval_only_ms,iqr_eval_only_ms
0,iris_binary,mlp_square_linear_score,split_seed_0/iris_binary/mlp_square_linear_score,reference,ckks_reference,default__rescale_aware,default,rescale,14,"[56, 46, 46, 46, 45, 45, 46]","[56, 55]",45,94.231864,reference,12,0,6.7604255526987345e-12,257.5432072500001,257.476521,293.93203,22.273343226787638,40.848757999999975,150.45954291666663,150.398263,180.288306,16.42545811151091,22.81216599999999
0,mnist_pool16,linear_poly3,split_seed_0/mnist_pool16/linear_poly3,direct,direct_synthesis,synth_repair_scale_1_rescale_N13_Q7_S24_3278ebe978f2,synth_repair_scale_1_rescale_N13_Q7_S24_3278ebe978f2,rescale,13,"[27, 24, 24, 24, 24, 24, 24]",[30],24,58.657749,direct,12,0,0.0021117070738375654,190.98825216666668,186.446934,250.275983,21.533883977867827,23.600915000000015,35.59703816666667,32.479797,52.600131000000005,7.895542773372635,6.290855000000004
0,mnist_pool16,linear_poly3,split_seed_0/mnist_pool16/linear_poly3,catalog,bounded_catalog_oracle,default__rescale_aware,default,rescale,14,"[56, 46, 46, 46, 45, 45, 46]","[56, 55]",45,86.913335,catalog,12,0,2.077538193701045e-07,376.6299381666667,361.989388,438.405955,38.17676518408749,59.532557,61.06762925000001,63.046991999999996,69.615664,5.538995135928869,9.539954999999992
0,mnist_pool16,linear_poly3,split_seed_0/mnist_pool16/linear_poly3,reference,ckks_reference,default__rescale_aware,default,rescale,14,"[56, 46, 46, 46, 45, 45, 46]","[56, 55]",45,80.931214,reference,12,0,2.0782662957241627e-07,383.81868233333336,348.799441,717.78271,102.03107922046271,21.007079000000033,62.78993158333333,59.819058,88.843908,9.033339965091837,8.881484999999998
0,mnist_pool16,mlp_square_linear_score,split_seed_0/mnist_pool16/mlp_square_linear_score,direct,direct_synthesis,synth_analysis_minimum_rescale_N13_Q6_S20_a9a3b0081a20,synth_analysis_minimum_rescale_N13_Q6_S20_a9a3b0081a20,rescale,13,"[23, 20, 20, 20, 20, 20]",[30],20,41.888079,direct,12,0,4.854653938873854e-05,225.20423858333334,206.306333,325.989415,34.68196420126141,30.89756299999999,85.91001908333334,80.851705,109.42220999999999,11.56029847990005,13.745455000000007
0,mnist_pool16,mlp_square_linear_score,split_seed_0/mnist_pool16/mlp_square_linear_score,catalog,bounded_catalog_oracle,short_chain_6_scale42__baseline_non_rescale,short_chain_6_scale42,naive,14,"[56, 46, 46, 46, 45, 45]","[56, 55]",42,50.903988,catalog,12,0,3.017175398412064e-11,422.64603674999995,414.052518,483.532897,26.039464446327543,25.69207,136.44829775,133.31108600000002,155.00822000000002,9.932112757297524,15.099626
0,mnist_pool16,mlp_square_linear_score,split_seed_0/mnist_pool16/mlp_square_linear_score,reference,ckks_reference,default__rescale_aware,default,rescale,14,"[56, 46, 46, 46, 45, 45, 46]","[56, 55]",45,92.351485,reference,12,0,2.6350588377965778e-12,498.2531689166667,497.588545,549.984398,33.53045286407764,66.81160099999994,187.07398858333332,186.456376,213.965612,13.067165488145449,19.409099999999995
0,wdbc,linear_poly3,split_seed_0/wdbc/linear_poly3,direct,direct_synthesis,synth_repair_scale_1_rescale_N13_Q7_S24_d83530e1c9c4,synth_repair_scale_1_rescale_N13_Q7_S24_d83530e1c9c4,rescale,13,"[27, 24, 24, 24, 24, 24, 24]",[30],24,50.806736,direct,12,0,0.002137388946796992,130.55869399999997,116.771062,239.226978,37.29686959575942,27.70872899999999,37.12785083333333,29.612607,79.895815,16.916447779253193,3.9518060000000013
0,wdbc,linear_poly3,split_seed_0/wdbc/linear_poly3,catalog,bounded_catalog_oracle,default__rescale_aware,default,rescale,14,"[56, 46, 46, 46, 45, 45, 46]","[56, 55]",45,71.904394,catalog,12,0,2.0786616528045698e-07,263.5443580833333,220.669066,444.690635,80.48701314899566,38.601380999999975,66.33216391666666,54.36574,124.880617,21.624527860662177,14.029843
0,wdbc,linear_poly3,split_seed_0/wdbc/linear_poly3,reference,ckks_reference,default__rescale_aware,default,rescale,14,"[56, 46, 46, 46, 45, 45, 46]","[56, 55]",45,80.526063,reference,12,0,2.0772502551391625e-07,256.21311599999996,226.513645,401.83537,54.73993245664146,45.33461700000001,64.02400766666666,56.181854,112.71743000000001,17.03478442487674,16.995037000000004
0,wdbc,mlp_square_linear_score,split_seed_0/wdbc/mlp_square_linear_score,direct,direct_synthesis,synth_analysis_minimum_rescale_N13_Q6_S20_6d755fca5e14,synth_analysis_minimum_rescale_N13_Q6_S20_6d755fca5e14,rescale,13,"[23, 20, 20, 20, 20, 20]",[30],20,43.736394,direct,12,0,5.0847530124409346e-05,146.43208991666668,143.758002,183.255359,16.57810863444057,23.780046000000027,76.88641391666665,72.274472,105.616804,11.787457306727003,7.9300580000000025
0,wdbc,mlp_square_linear_score,split_seed_0/wdbc/mlp_square_linear_score,catalog,bounded_catalog_oracle,short_chain_6_scale42__baseline_non_rescale,short_chain_6_scale42,naive,14,"[56, 46, 46, 46, 45, 45]","[56, 55]",42,69.454226,catalog,12,0,2.5685342741610384e-11,297.26731350000006,283.341049,373.381368,27.781523340092896,16.567516999999953,119.21141866666666,114.291469,144.648984,14.315303595107,22.897796999999997
0,wdbc,mlp_square_linear_score,split_seed_0/wdbc/mlp_square_linear_score,reference,ckks_reference,default__rescale_aware,default,rescale,14,"[56, 46, 46, 46, 45, 45, 46]","[56, 55]",45,97.257997,reference,12,0,6.501132965297529e-12,332.85772366666663,320.886734,395.101759,30.858207107513394,44.68946800000003,156.75846625,156.35427499999997,184.10940200000002,14.170466495876433,26.469184000000013
