pair_id,comparison,unique_input_clusters,raw_pairs,geometric_mean_total_ratio,cluster_bootstrap_ci_low,cluster_bootstrap_ci_high,validation_state,locked_audit_state,measurement_repeat_flips,security_v2,claim_state,reason
P1,heir_generated/flipguard_direct,100,1800,0.8000644194132933,0.7959682785478813,0.8041622383551202,ZERO_FLIP_BOTH_ARMS,ZERO_FLIP_BOTH_ARMS_ON_ORIGINAL_500_INPUT_AUDITS,"{""flipguard_direct"": 8, ""heir_generated"": 0}",PASS_BOTH_ARMS,BLOCKED_UNSTABLE_ARM,Direct arm has 8 raw repeated flips on one V_amb input.
P2,bounded_catalog/flipguard_direct,100,1800,5.115225647224325,5.0900699612057485,5.1410513280697465,ZERO_FLIP_BOTH_ARMS,ZERO_FLIP_BOTH_ARMS_ON_ORIGINAL_500_INPUT_AUDITS,"{""bounded_catalog"": 0, ""flipguard_direct"": 8}",PASS_BOTH_ARMS,BLOCKED_UNSTABLE_ARM,Direct arm has 8 raw repeated flips on one V_amb input.
P3,bounded_catalog/heir_generated,100,1800,6.393517225744701,6.361221883796193,6.427118084866673,ZERO_FLIP_BOTH_ARMS,ZERO_FLIP_BOTH_ARMS_ON_ORIGINAL_500_INPUT_AUDITS,"{""bounded_catalog"": 0, ""heir_generated"": 0}",PASS_BOTH_ARMS,PAPER_ADMITTED,"Catalog and HEIR are fully paired, Security-V2 aligned, and have zero validation, audit, and measurement-repeat flips."
