split_seed,dataset_id,model_id,alpha,outcome,candidate_count,safe_count,rejected_count,failed_count,v_cert,v_amb,coverage_rate,oracle_candidate,oracle_mean_total_ms,reference_candidate,reference_mean_total_ms,oracle_speedup_vs_reference,latency_only_candidate,latency_only_status,latency_only_mean_total_ms
0,iris_binary,mlp_square_linear_score,0.25,SELECTED,22,18,4,0,14,0,1.0,short_chain_6_scale40__baseline_non_rescale,223.2790405714,default__rescale_aware,268.098697,1.200733827563486,short_chain_3__rescale_aware,REJECTED,106.3323036429
0,iris_binary,mlp_square_linear_score,0.5,SELECTED,22,18,4,0,14,0,1.0,short_chain_6_scale40__baseline_non_rescale,223.2790405714,default__rescale_aware,268.098697,1.200733827563486,short_chain_3__rescale_aware,REJECTED,106.3323036429
0,iris_binary,mlp_square_linear_score,0.75,SELECTED,22,18,4,0,14,0,1.0,short_chain_6_scale40__baseline_non_rescale,223.2790405714,default__rescale_aware,268.098697,1.200733827563486,short_chain_3__rescale_aware,REJECTED,106.3323036429
0,iris_binary,mlp_square_linear_score,0.9,SELECTED,22,18,4,0,14,0,1.0,short_chain_6_scale40__baseline_non_rescale,223.2790405714,default__rescale_aware,268.098697,1.200733827563486,short_chain_3__rescale_aware,REJECTED,106.3323036429
0,mnist_pool16,linear_poly3,0.1,SELECTED,22,12,8,2,241,8,0.9678714859437751,default__rescale_aware,362.4895777871,default__rescale_aware,362.4895777871,1.0,short_chain_3__baseline_non_rescale,REJECTED,211.3300142048
0,mnist_pool16,linear_poly3,0.25,SELECTED,22,12,8,2,241,8,0.9678714859437751,default__rescale_aware,362.4895777871,default__rescale_aware,362.4895777871,1.0,short_chain_3__baseline_non_rescale,REJECTED,211.3300142048
0,mnist_pool16,linear_poly3,0.5,SELECTED,22,12,8,2,241,8,0.9678714859437751,default__rescale_aware,362.4895777871,default__rescale_aware,362.4895777871,1.0,short_chain_3__baseline_non_rescale,REJECTED,211.3300142048
0,mnist_pool16,linear_poly3,0.75,SELECTED,22,12,8,2,241,8,0.9678714859437751,default__rescale_aware,362.4895777871,default__rescale_aware,362.4895777871,1.0,short_chain_3__baseline_non_rescale,REJECTED,211.3300142048
0,mnist_pool16,linear_poly3,0.9,SELECTED,22,12,8,2,241,8,0.9678714859437751,default__rescale_aware,362.4895777871,default__rescale_aware,362.4895777871,1.0,short_chain_3__baseline_non_rescale,REJECTED,211.3300142048
0,mnist_pool16,mlp_square_linear_score,0.1,SELECTED,22,18,4,0,246,3,0.9879518072289156,short_chain_6_scale42__baseline_non_rescale,425.1984438072,default__rescale_aware,531.6359602972,1.2503243321799702,short_chain_3__rescale_aware,REJECTED,218.0188712249
0,mnist_pool16,mlp_square_linear_score,0.25,SELECTED,22,18,4,0,246,3,0.9879518072289156,short_chain_6_scale42__baseline_non_rescale,425.1984438072,default__rescale_aware,531.6359602972,1.2503243321799702,short_chain_3__rescale_aware,REJECTED,218.0188712249
0,mnist_pool16,mlp_square_linear_score,0.5,SELECTED,22,18,4,0,246,3,0.9879518072289156,short_chain_6_scale42__baseline_non_rescale,425.1984438072,default__rescale_aware,531.6359602972,1.2503243321799702,short_chain_3__rescale_aware,REJECTED,218.0188712249
0,mnist_pool16,mlp_square_linear_score,0.75,SELECTED,22,18,4,0,246,3,0.9879518072289156,short_chain_6_scale42__baseline_non_rescale,425.1984438072,default__rescale_aware,531.6359602972,1.2503243321799702,short_chain_3__rescale_aware,REJECTED,218.0188712249
0,mnist_pool16,mlp_square_linear_score,0.9,SELECTED,22,18,4,0,246,3,0.9879518072289156,short_chain_6_scale42__baseline_non_rescale,425.1984438072,default__rescale_aware,531.6359602972,1.2503243321799702,short_chain_3__rescale_aware,REJECTED,218.0188712249
0,wdbc,linear_poly3,0.1,SELECTED,22,12,8,2,84,1,0.9882352941176471,default__rescale_aware,221.1671256,default__rescale_aware,221.1671256,1.0,short_chain_3__baseline_non_rescale,REJECTED,139.9071384
0,wdbc,linear_poly3,0.25,SELECTED,22,12,8,2,84,1,0.9882352941176471,default__rescale_aware,221.1671256,default__rescale_aware,221.1671256,1.0,short_chain_3__baseline_non_rescale,REJECTED,139.9071384
0,wdbc,linear_poly3,0.5,SELECTED,22,12,8,2,84,1,0.9882352941176471,default__rescale_aware,221.1671256,default__rescale_aware,221.1671256,1.0,short_chain_3__baseline_non_rescale,REJECTED,139.9071384
0,wdbc,linear_poly3,0.75,SELECTED,22,12,8,2,84,1,0.9882352941176471,default__rescale_aware,221.1671256,default__rescale_aware,221.1671256,1.0,short_chain_3__baseline_non_rescale,REJECTED,139.9071384
0,wdbc,linear_poly3,0.9,SELECTED,22,12,8,2,84,1,0.9882352941176471,default__rescale_aware,221.1671256,default__rescale_aware,221.1671256,1.0,short_chain_3__baseline_non_rescale,REJECTED,139.9071384
0,wdbc,mlp_square_linear_score,0.1,SELECTED,22,18,4,0,83,2,0.9764705882352941,short_chain_6_scale42__baseline_non_rescale,268.7041381294,default__rescale_aware,335.7254278,1.249424106890101,short_chain_3__rescale_aware,REJECTED,133.7301593059
0,wdbc,mlp_square_linear_score,0.25,SELECTED,22,18,4,0,83,2,0.9764705882352941,short_chain_6_scale42__baseline_non_rescale,268.7041381294,default__rescale_aware,335.7254278,1.249424106890101,short_chain_3__rescale_aware,REJECTED,133.7301593059
0,wdbc,mlp_square_linear_score,0.5,SELECTED,22,18,4,0,83,2,0.9764705882352941,short_chain_6_scale42__baseline_non_rescale,268.7041381294,default__rescale_aware,335.7254278,1.249424106890101,short_chain_3__rescale_aware,REJECTED,133.7301593059
0,wdbc,mlp_square_linear_score,0.75,SELECTED,22,18,4,0,83,2,0.9764705882352941,short_chain_6_scale42__baseline_non_rescale,268.7041381294,default__rescale_aware,335.7254278,1.249424106890101,short_chain_3__rescale_aware,REJECTED,133.7301593059
0,wdbc,mlp_square_linear_score,0.9,SELECTED,22,18,4,0,83,2,0.9764705882352941,short_chain_6_scale42__baseline_non_rescale,268.7041381294,default__rescale_aware,335.7254278,1.249424106890101,short_chain_3__rescale_aware,REJECTED,133.7301593059
1,banknote,linear_poly3,0.1,SELECTED,22,12,8,2,205,0,1.0,default__rescale_aware,148.0021362244,default__rescale_aware,148.0021362244,1.0,short_chain_3__baseline_non_rescale,REJECTED,90.0702856976
