population,split_seed,dataset_id,model_id,stage,candidate_id,status,margin,absolute_error,margin_utilization_ratio,margin_utilization_cap,reserved_margin_fraction,operational_acceptance_budget,observed_decision_preserved,reserve_policy_pass,policy_reject_without_flip,minimum_cap_required,decision_flips,error_violations,observation_binding,source_sha256
development_seed0,0,mnist_pool16,linear_poly3,locked_audit,synth_repair_scale_1_rescale_N13_Q7_S24_ec91b41756ca,SAFE,0.0011868140183747822,0.006736842402311649,0.08046807732887004,0.5,0.5,0.0005934070091873911,True,True,False,0.08046807732887004,0,0,aggregate_extrema_not_sample_bound,sha256:b7608f645e3be634f115a2c235492802cdc84687580587579d64dceb5d541760
development_seed0,0,mnist_pool16,mlp_square_linear_score,configuration_validation,synth_analysis_minimum_rescale_N13_Q6_S20_2cd04f49f17a,SAFE,0.0011798138223543253,0.00011084491045054712,0.08513073441924235,0.5,0.5,0.0005899069111771627,True,True,False,0.08513073441924235,0,0,aggregate_extrema_not_sample_bound,sha256:3e92f276f2da3543fce92dec7b9a03b0762de6f88704c69eae626a73cbe5064d
development_seed0,0,mnist_pool16,mlp_square_linear_score,locked_audit,synth_analysis_minimum_rescale_N13_Q6_S20_2cd04f49f17a,SAFE,0.0010423414147401888,0.00015980877959576034,0.059946273780733625,0.5,0.5,0.0005211707073700944,True,True,False,0.059946273780733625,0,0,aggregate_extrema_not_sample_bound,sha256:31c7bad21c51504862c6db3298f986ae67896e34c7c922eef9c7c3f51bf1408f
development_seed0,0,wdbc,linear_poly3,configuration_validation,synth_repair_scale_1_rescale_N13_Q7_S24_4e105abcba07,SAFE,0.0014837839595173707,0.013506132696719464,0.09548082664468623,0.5,0.5,0.0007418919797586854,True,True,False,0.09548082664468623,0,0,aggregate_extrema_not_sample_bound,sha256:40d1b7e03ba61cb1536910df17417d3ee7f86b052fa18403ab16b58b80b668de
development_seed0,0,wdbc,linear_poly3,locked_audit,synth_repair_scale_1_rescale_N13_Q7_S24_4e105abcba07,SAFE,0.001463626481787328,0.008874575162142184,0.2034673588354786,0.5,0.5,0.000731813240893664,True,True,False,0.2034673588354786,0,0,aggregate_extrema_not_sample_bound,sha256:5c75c01c3cb2f6b85f1daec5b57a82eee731754164779a73b7436428512bb8a1
development_seed0,0,wdbc,mlp_square_linear_score,configuration_validation,synth_analysis_minimum_rescale_N13_Q6_S20_8f3d79a39ca0,SAFE,0.0012942465398142478,0.00020915530100423796,0.03967261967014854,0.5,0.5,0.0006471232699071239,True,True,False,0.03967261967014854,0,0,aggregate_extrema_not_sample_bound,sha256:950f06155bd53838f808d79d52c560145d0b7dc4a3574ba7d60ddac57a3e8d0d
development_seed0,0,wdbc,mlp_square_linear_score,locked_audit,synth_analysis_minimum_rescale_N13_Q6_S20_8f3d79a39ca0,SAFE,0.0013982586108370887,0.00030130312666909465,0.03621167771704525,0.5,0.5,0.0006991293054185443,True,True,False,0.03621167771704525,0,0,aggregate_extrema_not_sample_bound,sha256:4b52c815fcfba08dd050ea4656ca0b78208d9ac7a9147e174369608137df3a2e
confirmatory_seeds1_4,1,banknote,linear_poly3,configuration_validation,synth_repair_scale_1_rescale_N13_Q7_S24_851ef4e949b6,SAFE,0.004312115264032301,0.00769504620229422,0.06375350289915512,0.5,0.5,0.0021560576320161506,True,True,False,0.06375350289915512,0,0,aggregate_extrema_not_sample_bound,sha256:30a15db32795cfb983b72e4e57cb1a723d72bd31c276ad2d8e7377e188513c0a
confirmatory_seeds1_4,1,banknote,linear_poly3,locked_audit,synth_repair_scale_1_rescale_N13_Q7_S24_851ef4e949b6,SAFE,0.004312115264032301,0.007685377576286956,0.06748681736938769,0.5,0.5,0.0021560576320161506,True,True,False,0.06748681736938769,0,0,aggregate_extrema_not_sample_bound,sha256:ebef77233386e4d04ecab7e5e93e135f34cc4ab2f1238233d7ba5cee45a828e8
confirmatory_seeds1_4,1,banknote,mlp_square_linear_score,configuration_validation,synth_analysis_minimum_rescale_N13_Q6_S20_87eb4549e3bd,SAFE,0.013423258649348513,0.0009056350199746488,0.03186738558290572,0.5,0.5,0.0067116293246742564,True,True,False,0.03186738558290572,0,0,aggregate_extrema_not_sample_bound,sha256:91698859c3057cecc6fe7f7539eb29756e81a6ae8b998b2e1c6928bd0bc085a1
