run_id,split_seed,dataset_id,model_id,workload_id,status,outcome,trials_used,encrypted_key_runs,selected_candidate_id,selected_trial_status,selected_assurance,log_n,q_prime_count,p_prime_count,log_default_scale,declared_log_qp,security_headroom_bits,analysis_scale_bits,backend_scale_lift_bits,backend_validation_attempts,same_tier_precision_gain_bits,same_tier_static_candidates_tried,generation_kind,key_repeats_requested,key_repeats_completed,success_runs,decision_flips,error_violations,max_observed_error,v_cert,v_amb,mean_total_ms,median_total_ms,p95_total_ms,contract_digest,model_sha256,validation_sha256,result_path
full_floor18_keys3,1,banknote,linear_poly3,split_seed_1/banknote/linear_poly3,ok,SELECTED,2,6,synth_repair_scale_1_rescale_N13_Q7_S24_cabfebc33906,SAFE,OBSERVED_VALIDATION,13,7,1,24,201,16,24,0,1,0,1,repair_scale_1,3,3,3,0,0,0.007817956426851236,205,0,91.758206913821,84.733364,135.629954,sha256:cabfebc33906e8a51ce7ec11730b152ab285a0999465881b3d7c0fc8f02ecbe2,sha256:d14e8e810a9b5b2b945f57cf8f53e4e12ee3b87a118262ba9cb796410c0083a4,sha256:b8343f24d2e663ef5c2159d243a2b48214476ce6a639cf079cf80aa3a459bf54,results/thesis_grade_protocol/direct_tabular_autotune_v1/full_floor18_keys3/results/directv1_full_floor18_keys3_seed1_banknote_linear_poly3.json
full_floor18_keys3,1,banknote,mlp_square_linear_score,split_seed_1/banknote/mlp_square_linear_score,ok,SELECTED,1,3,synth_analysis_minimum_rescale_N13_Q6_S20_9c960732c5c0,SAFE,OBSERVED_VALIDATION,13,6,1,20,153,64,18,2,3,0,1,analysis_minimum,3,3,3,0,0,0.0006984353140058186,205,0,132.95003948780476,124.924002,182.104089,sha256:9c960732c5c0dc54fd404877fc8ebd6fd9748fd538e69fe907e530bb6b8e6676,sha256:4f8ce6d8ca23d87fc4d3623b97f235f3836ca4c0964286f4a1c634427e1d8e31,sha256:4dd0c18a05ae62f427009faddd9a190419c56dbce2646dc4ed87a518e3437d78,results/thesis_grade_protocol/direct_tabular_autotune_v1/full_floor18_keys3/results/directv1_full_floor18_keys3_seed1_banknote_mlp_square_linear_score.json
full_floor18_keys3,1,digits_binary,linear_poly3,split_seed_1/digits_binary/linear_poly3,ok,SELECTED,2,6,synth_repair_scale_1_rescale_N13_Q7_S24_8d14b4c6f5fe,SAFE,OBSERVED_VALIDATION,13,7,1,24,201,16,24,0,1,0,1,repair_scale_1,3,3,3,0,0,0.0051754481771858485,266,4,134.27690412469147,126.033329,184.134064,sha256:8d14b4c6f5fee33aedb02503978267e75fe4d8a45285103e9b642647d8fde862,sha256:4732af06a200e574b79412c23f8a91a98989217b2dc0ffb6e5f48ddd4e9caa36,sha256:f07edb98e2fb06427da51d665844ceb5d7020158323b0f49f6c68033bd56634d,results/thesis_grade_protocol/direct_tabular_autotune_v1/full_floor18_keys3/results/directv1_full_floor18_keys3_seed1_digits_binary_linear_poly3.json
full_floor18_keys3,1,digits_binary,mlp_square_linear_score,split_seed_1/digits_binary/mlp_square_linear_score,ok,SELECTED,1,3,synth_analysis_minimum_rescale_N13_Q6_S20_8094986b7a00,SAFE,OBSERVED_VALIDATION,13,6,1,20,153,64,18,2,3,0,1,analysis_minimum,3,3,3,0,0,7.859055715436769e-05,256,14,178.16334889629638,167.28561,242.537966,sha256:8094986b7a00222aafeabfb398947d0b59c079e48b52d3505a4f1fd2ce1227fb,sha256:025eb7dea28322d4b60adcfff3b1ff48c3fb44aa57280d39eea813405a6561d5,sha256:a62ac7ab4b53478da5c03b5dadf2a0afbb7fbb5fd9fc9b5ba51d5db1e96b0972,results/thesis_grade_protocol/direct_tabular_autotune_v1/full_floor18_keys3/results/directv1_full_floor18_keys3_seed1_digits_binary_mlp_square_linear_score.json
full_floor18_keys3,1,iris_binary,linear_poly3,split_seed_1/iris_binary/linear_poly3,ok,SELECTED,1,3,synth_analysis_minimum_rescale_N13_Q7_S20_e069b1a71dbf,SAFE,OBSERVED_VALIDATION,13,7,1,20,173,44,18,2,3,0,1,analysis_minimum,3,3,3,0,0,0.01689783022811464,14,0,91.4627360238095,85.358878,125.433107,sha256:e069b1a71dbff15debc8f0289522e8127da33d32224b2465251606c3c91b9170,sha256:9d4cf49eb8f29c382a891665f15e69859f5d1419a4ae18552a3490fc78ec0ed1,sha256:cf8bb61c111a4915703b0f7130b2a51df0f7fce791b975f03cb5bbf9c3ee4402,results/thesis_grade_protocol/direct_tabular_autotune_v1/full_floor18_keys3/results/directv1_full_floor18_keys3_seed1_iris_binary_linear_poly3.json
full_floor18_keys3,1,iris_binary,mlp_square_linear_score,split_seed_1/iris_binary/mlp_square_linear_score,ok,SELECTED,1,3,synth_analysis_minimum_rescale_N13_Q6_S20_417fd14390cd,SAFE,OBSERVED_VALIDATION,13,6,1,20,153,64,18,2,3,0,1,analysis_minimum,3,3,3,0,0,0.00044610744379253164,14,0,129.43706152380952,125.336271,160.932913,sha256:417fd14390cd285d3481b36565f155138ff1867697b66b8837c6a9e8b50c2d74,sha256:177371ecf4239a1072c5b451b94e492d80cc143b260f1ee0383783bb838eadeb,sha256:d6685b39215f4e08127db7612449c5a7e7cd26be102a409d648121be555c9327,results/thesis_grade_protocol/direct_tabular_autotune_v1/full_floor18_keys3/results/directv1_full_floor18_keys3_seed1_iris_binary_mlp_square_linear_score.json
full_floor18_keys3,1,mnist_pool16,linear_poly3,split_seed_1/mnist_pool16/linear_poly3,ok,SELECTED,2,6,synth_repair_scale_1_rescale_N13_Q7_S24_44b57e556da9,SAFE,OBSERVED_VALIDATION,13,7,1,24,201,16,24,0,1,0,1,repair_scale_1,3,3,3,0,0,0.0059409872775259,239,10,206.30227307764358,195.932019,272.663712,sha256:44b57e556da9716d0b81f9eeda8c9cae29f5f39e5a99d32dc3c8444a789d9629,sha256:afd5351d9b781a1fad2db90dc7bca0052521a41efd7694c0ade20974824dcb4e,sha256:85aafeee9d61e0ca1ee59058bb918407abaa28ac670cf6a90de7fee1205b1500,results/thesis_grade_protocol/direct_tabular_autotune_v1/full_floor18_keys3/results/directv1_full_floor18_keys3_seed1_mnist_pool16_linear_poly3.json
full_floor18_keys3,1,mnist_pool16,mlp_square_linear_score,split_seed_1/mnist_pool16/mlp_square_linear_score,ok,SELECTED,1,3,synth_analysis_minimum_rescale_N13_Q6_S20_ef6827811dc9,SAFE,OBSERVED_VALIDATION,13,6,1,20,153,64,18,2,3,0,1,analysis_minimum,3,3,3,0,0,0.00016504170614095592,246,3,249.51933881526097,236.404486,328.470872,sha256:ef6827811dc96d45e72f991a8426edcb6e8bf243640d18da3b137aabffbfe99b,sha256:edb34de653b4d4b756b3e497b1edc448b941926d02b32f3d93817db66bde9b78,sha256:96f6446d1288df8b2b613868e797b86313a5603c2dfd7e1069630db7e4166589,results/thesis_grade_protocol/direct_tabular_autotune_v1/full_floor18_keys3/results/directv1_full_floor18_keys3_seed1_mnist_pool16_mlp_square_linear_score.json
full_floor18_keys3,1,wdbc,linear_poly3,split_seed_1/wdbc/linear_poly3,ok,SELECTED,2,6,synth_repair_scale_1_rescale_N13_Q7_S24_50f4079fb1f8,SAFE,OBSERVED_VALIDATION,13,7,1,24,201,16,24,0,1,0,1,repair_scale_1,3,3,3,0,0,0.013420963235342531,84,1,124.53170053333342,118.934217,159.509657,sha256:50f4079fb1f8977c511cf96d47b97334cda1cb1bbfa83e1316c2b148a7904234,sha256:50d82e12fc96b3084084fba4f370487f7a20d16371905c21d7cb024f9e07f759,sha256:ccb6c6d4c3d5f1c5b5f92ef2717505ce7b97b429d49cc4b028f51001e1396eea,results/thesis_grade_protocol/direct_tabular_autotune_v1/full_floor18_keys3/results/directv1_full_floor18_keys3_seed1_wdbc_linear_poly3.json
full_floor18_keys3,1,wdbc,mlp_square_linear_score,split_seed_1/wdbc/mlp_square_linear_score,ok,SELECTED,1,3,synth_analysis_minimum_rescale_N13_Q6_S20_cfec66f693fd,SAFE,OBSERVED_VALIDATION,13,6,1,20,153,64,18,2,3,0,1,analysis_minimum,3,3,3,0,0,0.0001593249614782466,81,4,167.86207147450992,161.646166,223.152607,sha256:cfec66f693fd6e3a650077a801c046229813e9ce15ecd23489784a9acc32e09e,sha256:1893e664ba828fbeadfbd122a679d67b16824b736017e531d84aa3401d3752b4,sha256:1fd7a713f642d2a43cf5db005a6b735b4581d6b03c92c2944bed0aba91e9a7d0,results/thesis_grade_protocol/direct_tabular_autotune_v1/full_floor18_keys3/results/directv1_full_floor18_keys3_seed1_wdbc_mlp_square_linear_score.json
