split_seed,dataset_id,model_id,alpha,catalog_outcome,catalog_candidate_count,catalog_safe_count,catalog_rejected_count,catalog_failed_count,v_cert,v_amb,coverage_rate,catalog_oracle_candidate,catalog_oracle_mean_total_ms,reference_candidate,reference_mean_total_ms,latency_only_candidate,latency_only_status,latency_only_mean_total_ms,direct_outcome,direct_candidate,direct_contract_digest,direct_log_n,direct_q_prime_count,direct_log_default_scale,direct_trials,direct_key_runs,direct_mean_total_ms,diagnostic_speedup_vs_catalog,diagnostic_bounded_regret,latency_evidence
1,banknote,mlp_square_linear_score,0.5,SELECTED,22,18,4,0,205,0,1.0,short_chain_6_scale38__baseline_non_rescale,192.475379063,default__rescale_aware,258.0284123659,short_chain_3__rescale_aware,REJECTED,84.426547278,SELECTED,synth_analysis_minimum_rescale_N13_Q6_S20_9c960732c5c0,sha256:9c960732c5c0dc54fd404877fc8ebd6fd9748fd538e69fe907e530bb6b8e6676,13,6,20,1,3,132.950039488,1.44772712972,-0.309262098172,UNPAIRED_DIAGNOSTIC
1,digits_binary,linear_poly3,0.5,SELECTED,22,12,8,2,266,4,0.9851851851851852,default__rescale_aware,249.507652685,default__rescale_aware,249.5076526852,short_chain_3__baseline_non_rescale,REJECTED,141.3164327667,SELECTED,synth_repair_scale_1_rescale_N13_Q7_S24_8d14b4c6f5fe,sha256:8d14b4c6f5fee33aedb02503978267e75fe4d8a45285103e9b642647d8fde862,13,7,24,2,6,134.276904125,1.85815762071,-0.461832522251,UNPAIRED_DIAGNOSTIC
1,digits_binary,mlp_square_linear_score,0.5,SELECTED,22,18,4,0,256,14,0.9481481481481482,short_chain_6_scale38__baseline_non_rescale,252.931458819,default__rescale_aware,387.3468372926,short_chain_3__rescale_aware,REJECTED,123.1337911778,SELECTED,synth_analysis_minimum_rescale_N13_Q6_S20_8094986b7a00,sha256:8094986b7a00222aafeabfb398947d0b59c079e48b52d3505a4f1fd2ce1227fb,13,6,20,1,3,178.163348896,1.41966044299,-0.295606209965,UNPAIRED_DIAGNOSTIC
1,iris_binary,linear_poly3,0.5,SELECTED,22,12,8,2,14,0,1.0,default__rescale_aware,135.773407786,default__rescale_aware,135.7734077857,short_chain_3__baseline_non_rescale,REJECTED,87.6945347857,SELECTED,synth_analysis_minimum_rescale_N13_Q7_S20_e069b1a71dbf,sha256:e069b1a71dbff15debc8f0289522e8127da33d32224b2465251606c3c91b9170,13,7,20,1,3,91.4627360238,1.48446693909,-0.326357513482,UNPAIRED_DIAGNOSTIC
1,iris_binary,mlp_square_linear_score,0.5,SELECTED,22,18,4,0,14,0,1.0,short_chain_6_scale40__baseline_non_rescale,190.761249,default__rescale_aware,233.2025695714,short_chain_3__rescale_aware,REJECTED,86.3530242143,SELECTED,synth_analysis_minimum_rescale_N13_Q6_S20_417fd14390cd,sha256:417fd14390cd285d3481b36565f155138ff1867697b66b8837c6a9e8b50c2d74,13,6,20,1,3,129.437061524,1.47377610983,-0.321470884667,UNPAIRED_DIAGNOSTIC
1,mnist_pool16,linear_poly3,0.5,SELECTED,22,12,8,2,239,10,0.9598393574297188,default__rescale_aware,328.955249297,default__rescale_aware,328.9552492972,short_chain_3__baseline_non_rescale,REJECTED,189.1181894378,SELECTED,synth_repair_scale_1_rescale_N13_Q7_S24_44b57e556da9,sha256:44b57e556da9716d0b81f9eeda8c9cae29f5f39e5a99d32dc3c8444a789d9629,13,7,24,2,6,206.302273078,1.59453041593,-0.372856114872,UNPAIRED_DIAGNOSTIC
1,mnist_pool16,mlp_square_linear_score,0.5,SELECTED,22,18,4,0,246,3,0.9879518072289156,short_chain_6_scale38__baseline_non_rescale,384.11764492,default__rescale_aware,452.2676393414,short_chain_3__rescale_aware,REJECTED,197.8521875462,SELECTED,synth_analysis_minimum_rescale_N13_Q6_S20_ef6827811dc9,sha256:ef6827811dc96d45e72f991a8426edcb6e8bf243640d18da3b137aabffbfe99b,13,6,20,1,3,249.519338815,1.53943035736,-0.350409068379,UNPAIRED_DIAGNOSTIC
1,wdbc,linear_poly3,0.5,SELECTED,22,12,8,2,84,1,0.9882352941176471,default__rescale_aware,198.300675459,default__rescale_aware,198.3006754588,short_chain_3__baseline_non_rescale,REJECTED,122.2486299882,SELECTED,synth_repair_scale_1_rescale_N13_Q7_S24_50f4079fb1f8,sha256:50f4079fb1f8977c511cf96d47b97334cda1cb1bbfa83e1316c2b148a7904234,13,7,24,2,6,124.531700533,1.5923710558,-0.372005666419,UNPAIRED_DIAGNOSTIC
1,wdbc,mlp_square_linear_score,0.5,SELECTED,22,18,4,0,81,4,0.9529411764705882,short_chain_6_scale38__baseline_non_rescale,256.846471965,default__rescale_aware,298.9465517176,short_chain_3__rescale_aware,REJECTED,124.7254148706,SELECTED,synth_analysis_minimum_rescale_N13_Q6_S20_cfec66f693fd,sha256:cfec66f693fd6e3a650077a801c046229813e9ce15ecd23489784a9acc32e09e,13,6,20,1,3,167.862071475,1.5301042678,-0.34644976748,UNPAIRED_DIAGNOSTIC
2,banknote,linear_poly3,0.5,SELECTED,22,12,8,2,205,0,1.0,default__rescale_aware,133.753465717,default__rescale_aware,133.7534657171,short_chain_3__baseline_non_rescale,REJECTED,86.7069350634,SELECTED,synth_repair_scale_1_rescale_N13_Q7_S24_77b6cebc7ed5,sha256:77b6cebc7ed5494c7965c1e89db6e6f96dfc54fc7705d5e5dd5470c33f4d2c87,13,7,24,2,6,89.5080929837,1.4943170082,-0.330797953505,UNPAIRED_DIAGNOSTIC
