split_seed,dataset_id,model_id,alpha,old_candidate,v2_candidate
2,mnist_pool16,linear_poly3,0.5,default__rescale_aware,deep_chain_8_scale45__rescale_aware
2,mnist_pool16,linear_poly3,0.75,default__rescale_aware,deep_chain_8_scale45__rescale_aware
2,mnist_pool16,linear_poly3,0.9,default__rescale_aware,deep_chain_8_scale45__rescale_aware
2,wdbc,linear_poly3,0.1,default__rescale_aware,deep_chain_8_scale45__rescale_aware
2,wdbc,linear_poly3,0.25,default__rescale_aware,deep_chain_8_scale45__rescale_aware
2,wdbc,linear_poly3,0.5,default__rescale_aware,deep_chain_8_scale45__rescale_aware
2,wdbc,linear_poly3,0.75,default__rescale_aware,deep_chain_8_scale45__rescale_aware
2,wdbc,linear_poly3,0.9,default__rescale_aware,deep_chain_8_scale45__rescale_aware
3,banknote,linear_poly3,0.1,default__rescale_aware,deep_chain_8_scale45__rescale_aware
3,banknote,linear_poly3,0.25,default__rescale_aware,deep_chain_8_scale45__rescale_aware
3,banknote,linear_poly3,0.5,default__rescale_aware,deep_chain_8_scale45__rescale_aware
3,banknote,linear_poly3,0.75,default__rescale_aware,deep_chain_8_scale45__rescale_aware
3,banknote,linear_poly3,0.9,default__rescale_aware,deep_chain_8_scale45__rescale_aware
3,digits_binary,linear_poly3,0.1,default__rescale_aware,deep_chain_8_scale45__rescale_aware
3,digits_binary,linear_poly3,0.25,default__rescale_aware,deep_chain_8_scale45__rescale_aware
3,digits_binary,linear_poly3,0.5,default__rescale_aware,deep_chain_8_scale45__rescale_aware
3,digits_binary,linear_poly3,0.75,default__rescale_aware,deep_chain_8_scale45__rescale_aware
3,digits_binary,linear_poly3,0.9,default__rescale_aware,deep_chain_8_scale45__rescale_aware
3,iris_binary,linear_poly3,0.1,default__rescale_aware,deep_chain_8_scale45__rescale_aware
3,iris_binary,linear_poly3,0.25,default__rescale_aware,deep_chain_8_scale45__rescale_aware
3,iris_binary,linear_poly3,0.5,default__rescale_aware,deep_chain_8_scale45__rescale_aware
3,iris_binary,linear_poly3,0.75,default__rescale_aware,deep_chain_8_scale45__rescale_aware
3,iris_binary,linear_poly3,0.9,default__rescale_aware,deep_chain_8_scale45__rescale_aware
3,mnist_pool16,linear_poly3,0.1,default__rescale_aware,deep_chain_8_scale45__rescale_aware
3,mnist_pool16,linear_poly3,0.25,default__rescale_aware,deep_chain_8_scale45__rescale_aware
3,mnist_pool16,linear_poly3,0.5,default__rescale_aware,deep_chain_8_scale45__rescale_aware
3,mnist_pool16,linear_poly3,0.75,default__rescale_aware,deep_chain_8_scale45__rescale_aware
3,mnist_pool16,linear_poly3,0.9,default__rescale_aware,deep_chain_8_scale45__rescale_aware
3,wdbc,linear_poly3,0.1,default__rescale_aware,deep_chain_8_scale45__rescale_aware
3,wdbc,linear_poly3,0.25,default__rescale_aware,deep_chain_8_scale45__rescale_aware
3,wdbc,linear_poly3,0.5,default__rescale_aware,deep_chain_8_scale45__rescale_aware
3,wdbc,linear_poly3,0.75,default__rescale_aware,deep_chain_8_scale45__rescale_aware
3,wdbc,linear_poly3,0.9,default__rescale_aware,deep_chain_8_scale45__rescale_aware
4,banknote,linear_poly3,0.1,default__rescale_aware,deep_chain_8_scale45__rescale_aware
4,banknote,linear_poly3,0.25,default__rescale_aware,deep_chain_8_scale45__rescale_aware
4,banknote,linear_poly3,0.5,default__rescale_aware,deep_chain_8_scale45__rescale_aware
4,banknote,linear_poly3,0.75,default__rescale_aware,deep_chain_8_scale45__rescale_aware
4,banknote,linear_poly3,0.9,default__rescale_aware,deep_chain_8_scale45__rescale_aware
4,digits_binary,linear_poly3,0.1,default__rescale_aware,deep_chain_8_scale45__rescale_aware
4,digits_binary,linear_poly3,0.25,default__rescale_aware,deep_chain_8_scale45__rescale_aware
4,digits_binary,linear_poly3,0.5,default__rescale_aware,deep_chain_8_scale45__rescale_aware
4,digits_binary,linear_poly3,0.75,default__rescale_aware,deep_chain_8_scale45__rescale_aware
4,digits_binary,linear_poly3,0.9,default__rescale_aware,deep_chain_8_scale45__rescale_aware
4,iris_binary,linear_poly3,0.1,default__rescale_aware,deep_chain_8_scale45__rescale_aware
4,iris_binary,linear_poly3,0.25,default__rescale_aware,deep_chain_8_scale45__rescale_aware
4,iris_binary,linear_poly3,0.5,default__rescale_aware,deep_chain_8_scale45__rescale_aware
4,iris_binary,linear_poly3,0.75,default__rescale_aware,deep_chain_8_scale45__rescale_aware
4,iris_binary,linear_poly3,0.9,default__rescale_aware,deep_chain_8_scale45__rescale_aware
4,mnist_pool16,linear_poly3,0.1,default__rescale_aware,deep_chain_8_scale45__rescale_aware
4,mnist_pool16,linear_poly3,0.25,default__rescale_aware,deep_chain_8_scale45__rescale_aware
4,mnist_pool16,linear_poly3,0.5,default__rescale_aware,deep_chain_8_scale45__rescale_aware
4,mnist_pool16,linear_poly3,0.75,default__rescale_aware,deep_chain_8_scale45__rescale_aware
4,mnist_pool16,linear_poly3,0.9,default__rescale_aware,deep_chain_8_scale45__rescale_aware
4,wdbc,linear_poly3,0.1,default__rescale_aware,deep_chain_8_scale45__rescale_aware
4,wdbc,linear_poly3,0.25,default__rescale_aware,deep_chain_8_scale45__rescale_aware
4,wdbc,linear_poly3,0.5,default__rescale_aware,deep_chain_8_scale45__rescale_aware
4,wdbc,linear_poly3,0.75,default__rescale_aware,deep_chain_8_scale45__rescale_aware
4,wdbc,linear_poly3,0.9,default__rescale_aware,deep_chain_8_scale45__rescale_aware
