model_name,role,label,unique_samples,fresh_key_observations,argmax_flips,reserve_policy_rejections,plaintext_correct,ckks_correct,max_pairwise_observed_error,max_minimum_cap_required,min_top_two_gap,max_top_two_gap
lenet5_small,configuration_validation,0,50,150,0,0,150,150,7.6953771799281867e-08,5.7827109953465491e-09,2.4671940554181333,57.067321739807383
lenet5_small,configuration_validation,1,50,150,0,0,150,150,6.8581682555191037e-08,5.0368093004257502e-09,6.2358034686171155,28.865960905783673
lenet5_small,configuration_validation,2,50,150,0,0,150,150,6.5083977318636244e-08,1.4448234591519296e-08,1.3477784080447162,57.13067222749315
lenet5_small,configuration_validation,3,50,150,0,0,147,147,1.145318897499692e-07,3.2770732841399857e-08,0.1783588794917379,56.48925407002794
lenet5_small,configuration_validation,4,50,150,0,0,150,150,9.7594806902634446e-08,1.0655043533373329e-08,5.4611244627870477,62.000131048226692
lenet5_small,configuration_validation,5,50,150,0,0,141,141,1.4313577167968106e-07,1.6547086671569599e-08,0.92731771693460807,52.120547991827344
lenet5_small,configuration_validation,6,50,150,0,0,147,147,8.3738108003217349e-08,1.3324566735477261e-08,1.3242334800494011,60.785887776737738
lenet5_small,configuration_validation,7,50,150,0,0,150,150,4.3696582352481528e-08,8.9320504796847806e-07,0.019203927749238403,29.860885610430387
lenet5_small,configuration_validation,8,50,150,0,0,147,147,5.8934467972449056e-08,1.5632289203830349e-08,1.1633399172054619,34.151716632352404
lenet5_small,configuration_validation,9,50,150,0,0,150,150,8.7196855957927255e-08,1.3527320039548971e-08,0.82632946448689282,29.518249386610595
lenet5_small,locked_audit,0,50,150,0,0,147,147,9.1760824272313357e-08,1.9731856398894958e-08,0.40003024327418224,81.871511641518026
lenet5_small,locked_audit,1,50,150,0,0,150,150,8.3421496377411586e-08,5.3402414156689037e-09,4.0602330426863746,21.711514515704629
lenet5_small,locked_audit,2,50,150,0,0,150,150,1.6347291875717929e-07,1.511459768715442e-08,1.7168559762490165,63.435242684167228
lenet5_small,locked_audit,3,50,150,0,0,147,147,1.2477061162030623e-07,1.140119503518268e-08,1.7166673543841173,84.443916357702605
lenet5_small,locked_audit,4,50,150,0,0,150,150,8.7236021073522352e-08,3.9235653067446352e-09,3.5291183294842128,76.836127774859989
lenet5_small,locked_audit,5,50,150,0,0,144,144,1.3891855132897035e-07,1.4530185361177902e-08,1.2083938688987308,57.173818527524119
lenet5_small,locked_audit,6,50,150,0,0,150,150,6.9490354803747323e-08,1.8056137447371787e-08,0.36079731807418303,53.035932601531393
lenet5_small,locked_audit,7,50,150,0,0,147,147,7.2765460323864772e-08,1.0212878492208602e-08,1.0945158567151871,27.394786764353729
lenet5_small,locked_audit,8,50,150,0,0,150,150,5.9244594563523378e-08,1.9091165836947202e-08,1.7646811346274527,33.772265626628851
lenet5_small,locked_audit,9,50,150,0,0,144,144,7.4947266170966031e-08,3.1632967056565881e-08,0.56848506760786055,25.164438305327767
mlp_100,configuration_validation,0,50,150,0,0,150,150,0.00028581892728851699,3.1732142444050499e-05,2.455911705185736,58.965385342865808
mlp_100,configuration_validation,1,50,150,0,0,147,147,0.0002715312176009288,3.369672822033873e-05,1.7663467282194567,16.789212470608703
mlp_100,configuration_validation,2,50,150,0,0,144,144,0.00025184398926825224,0.00057967314666386145,0.25401587138454396,38.86528973765251
mlp_100,configuration_validation,3,50,150,0,0,147,147,0.00018834875584872179,0.0018313528165830159,0.042498195165657116,39.268576314866536
mlp_100,configuration_validation,4,50,150,0,0,147,147,0.00019609596260306006,0.00018544612225558573,0.47595061667629235,35.057993674850778
mlp_100,configuration_validation,5,50,150,0,0,141,141,0.00023894897650045266,0.00010954502826191655,0.77624248756154834,33.496971342418767
mlp_100,configuration_validation,6,50,150,0,0,147,147,0.00022283870858252897,3.5875039024585929e-05,2.6064226732680242,51.777080545024305
mlp_100,configuration_validation,7,50,150,0,0,147,147,0.00024618168872247992,0.00028026573949113535,0.25183400894050489,40.154366898910816
mlp_100,configuration_validation,8,50,150,0,0,141,141,0.00018993008798640076,0.00053524827488989947,0.34336049195014295,26.726711377044051
mlp_100,configuration_validation,9,50,150,0,0,144,144,0.00022776357477205522,0.0014665538323909758,0.090395602879695502,22.303277780680538
mlp_100,locked_audit,0,50,150,0,0,147,147,0.00030034159492409174,4.228196682722151e-05,1.3589270836220484,44.914232422620159
mlp_100,locked_audit,1,50,150,0,0,150,150,0.0001272973993420301,4.2032821637199941e-05,2.2030378902907262,18.165966380850428
mlp_100,locked_audit,2,50,150,0,0,150,150,0.00050021685701640006,7.6470887513183867e-05,2.2858812205764858,38.700921012345148
mlp_100,locked_audit,3,50,150,0,0,135,135,0.00024448724954684309,0.00026818661250731484,0.50320364237488002,41.604928381266888
mlp_100,locked_audit,4,50,150,0,0,144,144,0.00026069557642038887,3.3150450562922285e-05,1.8379799399954786,34.021578344484418
mlp_100,locked_audit,5,50,150,0,0,147,147,0.00016308284151911323,2.5601973777092857e-05,2.3709791714493944,35.83728064533841
mlp_100,locked_audit,6,50,150,0,0,147,147,0.00031914221082196548,3.1990959325406884e-05,3.3712135851802967,47.57540568670899
mlp_100,locked_audit,7,50,150,0,0,150,150,0.00025350068130813863,3.1887739649701209e-05,1.3873133995095528,39.974676738356656
mlp_100,locked_audit,8,50,150,0,0,150,150,0.0001802783563169541,2.8338025655537945e-05,1.8822857935964596,29.832579121860029
mlp_100,locked_audit,9,50,150,0,0,144,144,0.00030749861141377011,0.0029057998080674629,0.012545230086129955,24.307236562828283
