split_seed,dataset_id,model_id,candidate_id,profile,path,evaluation_mode,alpha,certificate_status,run_status,exit_code,sample_count,v_cert,v_amb,coverage_rate,margin_floor,decision_flips_v_cert,error_violations_v_cert,max_y_error_v_cert,mean_total_ms,median_total_ms,p95_total_ms,mean_eval_only_ms,run_tag
0,wdbc,mlp_square_linear_score,short_chain_3__rescale_aware,short_chain_3,rescale_aware,rescale,0.5,REJECTED,ok,0,85,83,2,0.9764705882352941,0.001,53,83,0.5182910782,133.7301593059,129.176512,154.6105442,63.7152605059,thesisv1_full_seed0_wdbc_mlp_square_linear_score_short_chain_3_rescale_aware
1,banknote,linear_poly3,short_chain_3__baseline_non_rescale,short_chain_3,baseline_non_rescale,naive,0.5,REJECTED,ok,0,205,205,0,1.0,0.001,95,205,0.6194131478,90.0702856976,87.592985,104.8061306,23.1788895756,thesisv1_full_seed1_banknote_linear_poly3_short_chain_3_baseline_non_rescale
1,banknote,linear_poly3,short_chain_3__rescale_aware,short_chain_3,rescale_aware,rescale,0.5,FAILED,failed,1,205,205,0,1.0,0.001,,,,,,,,thesisv1_full_seed1_banknote_linear_poly3_short_chain_3_rescale_aware
1,banknote,mlp_square_linear_score,short_chain_3__baseline_non_rescale,short_chain_3,baseline_non_rescale,naive,0.5,REJECTED,ok,0,205,205,0,1.0,0.001,91,205,0.6098085023,115.9347844049,111.948929,134.4263506,49.1882089805,thesisv1_full_seed1_banknote_mlp_square_linear_score_short_chain_3_baseline_non_rescale
1,banknote,mlp_square_linear_score,short_chain_3__rescale_aware,short_chain_3,rescale_aware,rescale,0.5,REJECTED,ok,0,205,205,0,1.0,0.001,91,205,0.6098085023,84.426547278,83.127,95.1877656,51.2813981561,thesisv1_full_seed1_banknote_mlp_square_linear_score_short_chain_3_rescale_aware
1,digits_binary,linear_poly3,short_chain_3__baseline_non_rescale,short_chain_3,baseline_non_rescale,naive,0.5,REJECTED,ok,0,270,266,4,0.9851851851851852,0.001,122,266,0.6159805173,141.3164327667,135.050419,175.01731495,28.9011926148,thesisv1_full_seed1_digits_binary_linear_poly3_short_chain_3_baseline_non_rescale
1,digits_binary,linear_poly3,short_chain_3__rescale_aware,short_chain_3,rescale_aware,rescale,0.5,FAILED,failed,1,270,266,4,0.9851851851851852,0.001,,,,,,,,thesisv1_full_seed1_digits_binary_linear_poly3_short_chain_3_rescale_aware
1,digits_binary,mlp_square_linear_score,short_chain_3__baseline_non_rescale,short_chain_3,baseline_non_rescale,naive,0.5,REJECTED,ok,0,270,256,14,0.9481481481481482,0.001,127,256,0.5825953151,150.9642270407,148.6213895,168.1560468,53.295051037,thesisv1_full_seed1_digits_binary_mlp_square_linear_score_short_chain_3_baseline_non_rescale
1,digits_binary,mlp_square_linear_score,short_chain_3__rescale_aware,short_chain_3,rescale_aware,rescale,0.5,REJECTED,ok,0,270,256,14,0.9481481481481482,0.001,127,256,0.5825953151,123.1337911778,119.762348,147.5462936,57.6671281704,thesisv1_full_seed1_digits_binary_mlp_square_linear_score_short_chain_3_rescale_aware
1,iris_binary,linear_poly3,short_chain_3__baseline_non_rescale,short_chain_3,baseline_non_rescale,naive,0.5,REJECTED,ok,0,14,14,0,1.0,0.001,7,14,0.6540386165,87.6945347857,87.023582,97.46382435,22.4769900714,thesisv1_full_seed1_iris_binary_linear_poly3_short_chain_3_baseline_non_rescale
1,iris_binary,linear_poly3,short_chain_3__rescale_aware,short_chain_3,rescale_aware,rescale,0.5,FAILED,failed,1,14,14,0,1.0,0.001,,,,,,,,thesisv1_full_seed1_iris_binary_linear_poly3_short_chain_3_rescale_aware
1,iris_binary,mlp_square_linear_score,short_chain_3__baseline_non_rescale,short_chain_3,baseline_non_rescale,naive,0.5,REJECTED,ok,0,14,14,0,1.0,0.001,7,14,0.6451233846,115.3979216429,110.670898,137.48634335,48.9417818571,thesisv1_full_seed1_iris_binary_mlp_square_linear_score_short_chain_3_baseline_non_rescale
1,iris_binary,mlp_square_linear_score,short_chain_3__rescale_aware,short_chain_3,rescale_aware,rescale,0.5,REJECTED,ok,0,14,14,0,1.0,0.001,7,14,0.6451233846,86.3530242143,86.241472,94.27681385,52.3186779286,thesisv1_full_seed1_iris_binary_mlp_square_linear_score_short_chain_3_rescale_aware
1,mnist_pool16,linear_poly3,short_chain_3__baseline_non_rescale,short_chain_3,baseline_non_rescale,naive,0.5,REJECTED,ok,0,249,239,10,0.9598393574297188,0.001,107,239,0.6351355052,189.1181894378,185.075956,215.0773952,27.2502110402,thesisv1_full_seed1_mnist_pool16_linear_poly3_short_chain_3_baseline_non_rescale
1,mnist_pool16,linear_poly3,short_chain_3__rescale_aware,short_chain_3,rescale_aware,rescale,0.5,FAILED,failed,1,249,239,10,0.9598393574297188,0.001,,,,,,,,thesisv1_full_seed1_mnist_pool16_linear_poly3_short_chain_3_rescale_aware
1,mnist_pool16,mlp_square_linear_score,short_chain_3__baseline_non_rescale,short_chain_3,baseline_non_rescale,naive,0.5,REJECTED,ok,0,249,246,3,0.9879518072289156,0.001,113,246,0.6119741272,228.5736646586,222.774016,262.1444454,65.4869027068,thesisv1_full_seed1_mnist_pool16_mlp_square_linear_score_short_chain_3_baseline_non_rescale
1,mnist_pool16,mlp_square_linear_score,short_chain_3__rescale_aware,short_chain_3,rescale_aware,rescale,0.5,REJECTED,ok,0,249,246,3,0.9879518072289156,0.001,113,246,0.6119741272,197.8521875462,193.879963,227.117521,69.1086715261,thesisv1_full_seed1_mnist_pool16_mlp_square_linear_score_short_chain_3_rescale_aware
1,wdbc,linear_poly3,short_chain_3__baseline_non_rescale,short_chain_3,baseline_non_rescale,naive,0.5,REJECTED,ok,0,85,84,1,0.9882352941176471,0.001,55,84,0.5830088582,122.2486299882,118.631224,137.4439418,24.4356623176,thesisv1_full_seed1_wdbc_linear_poly3_short_chain_3_baseline_non_rescale
1,wdbc,linear_poly3,short_chain_3__rescale_aware,short_chain_3,rescale_aware,rescale,0.5,FAILED,failed,1,85,84,1,0.9882352941176471,0.001,,,,,,,,thesisv1_full_seed1_wdbc_linear_poly3_short_chain_3_rescale_aware
1,wdbc,mlp_square_linear_score,short_chain_3__baseline_non_rescale,short_chain_3,baseline_non_rescale,naive,0.5,REJECTED,ok,0,85,81,4,0.9529411764705882,0.001,51,81,0.5182910782,153.5110696471,150.393975,180.6657142,54.5148659412,thesisv1_full_seed1_wdbc_mlp_square_linear_score_short_chain_3_baseline_non_rescale
1,wdbc,mlp_square_linear_score,short_chain_3__rescale_aware,short_chain_3,rescale_aware,rescale,0.5,REJECTED,ok,0,85,81,4,0.9529411764705882,0.001,51,81,0.5182910782,124.7254148706,119.294107,146.9909446,58.0123248706,thesisv1_full_seed1_wdbc_mlp_square_linear_score_short_chain_3_rescale_aware
2,banknote,linear_poly3,short_chain_3__baseline_non_rescale,short_chain_3,baseline_non_rescale,naive,0.5,REJECTED,ok,0,205,205,0,1.0,0.001,94,205,0.6105700009,86.7069350634,84.724762,100.0229866,22.0226866537,thesisv1_full_seed2_banknote_linear_poly3_short_chain_3_baseline_non_rescale
2,banknote,linear_poly3,short_chain_3__rescale_aware,short_chain_3,rescale_aware,rescale,0.5,FAILED,failed,1,205,205,0,1.0,0.001,,,,,,,,thesisv1_full_seed2_banknote_linear_poly3_short_chain_3_rescale_aware
2,banknote,mlp_square_linear_score,short_chain_3__baseline_non_rescale,short_chain_3,baseline_non_rescale,naive,0.5,REJECTED,ok,0,205,205,0,1.0,0.001,91,205,0.6212435602,113.1790545902,111.016148,123.5722638,47.8060445805,thesisv1_full_seed2_banknote_mlp_square_linear_score_short_chain_3_baseline_non_rescale
