pair_id,label,images,geometric_mean_total_ratio,geometric_mean_eval_ratio
graph_only_over_gap_aware,0,10,1.0018169800259094,1.0018178518870544
graph_only_over_gap_aware,1,10,0.9953755737592755,0.9962983408272629
graph_only_over_gap_aware,2,10,1.002309482921298,1.0015803284937799
graph_only_over_gap_aware,3,10,1.0012108106373936,1.001248576215718
graph_only_over_gap_aware,4,10,0.9985691698602449,0.9989630161025527
graph_only_over_gap_aware,5,10,0.9976617961388384,0.9962113088902477
graph_only_over_gap_aware,6,10,0.9978110777927895,1.000107262679221
graph_only_over_gap_aware,7,10,1.0013334119557968,1.0011936529867873
graph_only_over_gap_aware,8,10,0.9992139632594211,0.9989831131840149
graph_only_over_gap_aware,9,10,1.0025221712725807,1.0029440416426367
catalog_over_gap_aware,0,10,1.989270178458685,1.9428876072393102
catalog_over_gap_aware,1,10,1.9831585776841953,1.9435483502114033
catalog_over_gap_aware,2,10,1.9840099812089136,1.9386396659596294
catalog_over_gap_aware,3,10,1.9835190155389417,1.9370676690557376
catalog_over_gap_aware,4,10,1.9821189814623792,1.939625023964568
catalog_over_gap_aware,5,10,1.9737998583147536,1.92839976039771
catalog_over_gap_aware,6,10,1.9799923762145966,1.9382030242920991
catalog_over_gap_aware,7,10,1.979454425803661,1.9406122245274222
catalog_over_gap_aware,8,10,1.9784380411189795,1.9354381411095154
catalog_over_gap_aware,9,10,1.9842257072101817,1.943141774264534
