pair_id,sample_id,source_index,label,repetitions,geometric_mean_total_ratio,geometric_mean_eval_ratio
graph_only_over_gap_aware,mnist_61017,61017,6,18,0.9868696521278404,0.9903768088950017
graph_only_over_gap_aware,mnist_63914,63914,6,18,1.006452334884053,1.0116728026461748
graph_only_over_gap_aware,mnist_62422,62422,6,18,0.9983259804112609,1.000532831345047
graph_only_over_gap_aware,mnist_60732,60732,6,18,0.9955360595690391,0.998107498650224
graph_only_over_gap_aware,mnist_64388,64388,6,18,1.0020572282135272,1.0045123717135942
graph_only_over_gap_aware,mnist_61332,61332,6,18,1.0060811091174948,1.0121006953521725
graph_only_over_gap_aware,mnist_67816,67816,6,18,0.9994729934981184,1.002017522719355
graph_only_over_gap_aware,mnist_60973,60973,6,18,0.9904065575305333,0.9908658178746277
graph_only_over_gap_aware,mnist_64699,64699,6,18,0.995354862064507,0.9936430530368608
graph_only_over_gap_aware,mnist_61175,61175,7,18,1.0079734497655477,1.0118600230299253
graph_only_over_gap_aware,mnist_68497,68497,7,18,1.0031491395790981,1.0046814200007357
graph_only_over_gap_aware,mnist_61216,61216,7,18,1.002191386597235,1.0057264903547276
graph_only_over_gap_aware,mnist_66986,66986,7,18,0.9987853271608051,0.9946276429868154
graph_only_over_gap_aware,mnist_64736,64736,7,18,0.9870262425714956,0.979456654257626
graph_only_over_gap_aware,mnist_62317,62317,7,18,1.0030662314708125,1.0029865476483564
graph_only_over_gap_aware,mnist_67230,67230,7,18,1.01513757633649,1.017665608123347
graph_only_over_gap_aware,mnist_69340,69340,7,18,1.0021150184591407,1.0013180896948528
graph_only_over_gap_aware,mnist_68110,68110,7,18,0.996276980105106,0.990787178346032
graph_only_over_gap_aware,mnist_67614,67614,7,18,0.9978580832747532,1.0033530780339808
graph_only_over_gap_aware,mnist_63153,63153,8,18,1.0049340885918339,1.0026226994618501
graph_only_over_gap_aware,mnist_62744,62744,8,18,0.9971246550672809,0.9948923989533407
graph_only_over_gap_aware,mnist_65041,65041,8,18,0.9916223513616753,0.9907738683626311
graph_only_over_gap_aware,mnist_63348,63348,8,18,0.9991598817971732,1.0024943020889696
graph_only_over_gap_aware,mnist_66826,66826,8,18,1.0024901625704474,1.0059833513633538
graph_only_over_gap_aware,mnist_65288,65288,8,18,0.9957602021247538,0.9931422611431161
graph_only_over_gap_aware,mnist_60177,60177,8,18,0.9904059517850546,0.9847990115228813
graph_only_over_gap_aware,mnist_64429,64429,8,18,1.0005269977596098,1.002007144744287
