population,split_seed,dataset_id,model_id,workload_id,direct_candidate_id,catalog_candidate_id,catalog_over_direct_total_ratio,catalog_over_direct_eval_only_ratio,paired_raw_observations
confirmatory_seeds1_4,2,iris_binary,mlp_square_linear_score,split_seed_2/iris_binary/mlp_square_linear_score,synth_analysis_minimum_rescale_N13_Q6_S20_dc1a3cbfb69d,short_chain_6_scale40__baseline_non_rescale,1.8834870766442366,1.42699108074438,36
confirmatory_seeds1_4,2,mnist_pool16,linear_poly3,split_seed_2/mnist_pool16/linear_poly3,synth_repair_scale_1_rescale_N13_Q7_S24_be96916cb331,deep_chain_8_scale45__rescale_aware,5.031092491993909,4.488830091687657,36
confirmatory_seeds1_4,2,mnist_pool16,mlp_square_linear_score,split_seed_2/mnist_pool16/mlp_square_linear_score,synth_analysis_minimum_rescale_N13_Q6_S20_88d5d5e14224,short_chain_6_scale38__baseline_non_rescale,1.9340185105577485,1.5183115850483195,36
confirmatory_seeds1_4,2,wdbc,linear_poly3,split_seed_2/wdbc/linear_poly3,synth_repair_scale_1_rescale_N13_Q7_S24_5a043e5c51af,deep_chain_8_scale45__rescale_aware,5.311807466905127,4.643515555369822,36
confirmatory_seeds1_4,2,wdbc,mlp_square_linear_score,split_seed_2/wdbc/mlp_square_linear_score,synth_analysis_minimum_rescale_N13_Q6_S20_67109d0703c5,short_chain_6_scale38__baseline_non_rescale,1.9035190448232717,1.5104576609877194,36
confirmatory_seeds1_4,3,banknote,linear_poly3,split_seed_3/banknote/linear_poly3,synth_repair_scale_1_rescale_N13_Q7_S24_56aff076a560,deep_chain_8_scale45__rescale_aware,5.258382695310359,4.676224048378274,36
confirmatory_seeds1_4,3,banknote,mlp_square_linear_score,split_seed_3/banknote/mlp_square_linear_score,synth_analysis_minimum_rescale_N13_Q6_S20_2c2da9a3eae1,short_chain_6_scale42__baseline_non_rescale,1.9341239894773623,1.4983550155557623,36
confirmatory_seeds1_4,3,digits_binary,linear_poly3,split_seed_3/digits_binary/linear_poly3,synth_repair_scale_1_rescale_N13_Q7_S24_9887de80bbf2,deep_chain_8_scale45__rescale_aware,4.768153266251525,4.332052155628431,36
confirmatory_seeds1_4,3,digits_binary,mlp_square_linear_score,split_seed_3/digits_binary/mlp_square_linear_score,synth_analysis_minimum_rescale_N13_Q6_S20_2195a085d6b4,short_chain_6_scale42__baseline_non_rescale,1.9819948204733853,1.5336483745855694,36
confirmatory_seeds1_4,3,iris_binary,linear_poly3,split_seed_3/iris_binary/linear_poly3,synth_analysis_minimum_rescale_N13_Q7_S20_03498e744ec6,deep_chain_8_scale45__rescale_aware,5.4106714389699,4.820339266411905,36
